query_idx,ef_true,RV_normgauss_5.0,RV_normgauss_10.0,RV_normgauss_20.0,RV_normgauss_50.0,RV_normgauss_100.0
1730,50,0.7,0.7,0.7,0.7,0.7
3464,50,0.5,0.5,0.5,0.5,0.5
662,50,0.7,0.7,0.6,0.6,0.6
6236,200,0.7,0.8,0.8,0.8,0.8
9488,50,0.9,0.9,0.9,0.9,0.9
2113,150,0.4,0.5,0.6,0.6,0.6
457,50,0.6,0.7,0.8,0.8,0.8
2411,50,0.5,0.6,0.6,0.7,0.7
3127,200,0.3,0.4,0.5,0.5,0.4
758,50,0.5,0.5,0.5,0.5,0.5
3863,50,0.7,0.8,0.7,0.7,0.6
7848,150,0.3,0.5,0.7,0.7,0.7
1537,50,0.5,0.6,0.7,0.6,0.6
8819,100,0.6,0.8,1.0,1.0,1.0
3537,100,0.4,0.4,0.4,0.5,0.5
2606,1050,0.5,0.6,0.6,0.6,0.6
7810,50,0.6,0.6,0.7,0.7,0.7
8934,50,0.4,0.4,0.5,0.6,0.6
5896,150,0.6,0.7,0.7,0.6,0.5
6485,250,0.4,0.5,0.6,0.7,0.7
2463,50,0.5,0.6,0.7,0.8,0.8
9611,100,0.5,0.7,0.8,0.8,0.8
8876,50,0.8,0.8,0.8,0.8,0.8
4629,50,0.7,0.7,0.7,0.8,0.8
5430,150,0.4,0.6,0.6,0.6,0.5
1327,50,0.4,0.5,0.5,0.4,0.4
3742,150,0.5,0.5,0.6,0.6,0.6
409,200,0.4,0.5,0.5,0.5,0.4
3272,50,0.7,0.8,0.9,0.9,0.9
1207,50,0.6,0.8,0.9,1.0,1.0
9981,50,0.4,0.4,0.5,0.5,0.6
8017,900,0.3,0.4,0.5,0.5,0.5
6689,50,0.8,0.8,0.8,0.8,0.8
26,50,0.8,0.8,0.8,0.8,0.8
9529,100,0.5,0.7,0.8,0.8,0.8
4768,50,0.5,0.6,0.5,0.5,0.4
7856,50,0.6,0.7,0.6,0.7,0.7
3287,50,0.5,0.5,0.4,0.4,0.3
2192,50,0.8,0.8,0.8,0.9,0.9
7713,50,0.5,0.6,0.7,0.7,0.7
7057,50,0.5,0.6,0.7,0.7,0.7
3714,150,0.4,0.7,0.8,0.9,0.9
9552,150,0.4,0.6,0.7,0.9,0.9
1544,50,0.7,0.7,0.7,0.6,0.5
3294,50,0.8,0.8,0.8,0.8,0.8
1193,50,0.4,0.4,0.5,0.5,0.5
4826,400,0.3,0.4,0.4,0.4,0.4
2631,50,0.5,0.6,0.6,0.6,0.6
2111,50,0.7,0.7,0.6,0.5,0.6
8093,150,0.3,0.4,0.4,0.3,0.4
4581,50,0.4,0.5,0.5,0.6,0.7
5049,50,0.7,0.8,0.9,0.9,0.9
5446,150,0.4,0.6,0.6,0.6,0.7
8484,50,0.4,0.5,0.6,0.7,0.7
3885,50,0.7,0.7,0.7,0.7,0.7
5098,50,0.7,0.7,0.6,0.5,0.5
8008,50,0.4,0.5,0.5,0.4,0.4
4623,50,0.7,0.7,0.7,0.7,0.7
3733,50,0.5,0.6,0.7,0.6,0.6
7324,100,0.5,0.6,0.7,0.7,0.8
6711,200,0.3,0.5,0.6,0.7,0.7
2966,50,0.7,0.7,0.6,0.6,0.6
5217,100,0.3,0.3,0.3,0.3,0.3
3812,50,0.5,0.7,0.8,0.9,0.9
2822,100,0.4,0.4,0.4,0.5,0.5
8276,50,0.5,0.6,0.7,0.7,0.6
2987,100,0.4,0.5,0.5,0.5,0.6
3868,50,0.7,0.7,0.8,0.8,0.8
1926,350,0.2,0.3,0.3,0.3,0.3
1351,50,0.6,0.8,0.9,0.9,0.9
2107,50,0.7,0.8,0.9,0.9,0.9
3453,50,0.7,0.6,0.6,0.5,0.5
3674,250,0.5,0.6,0.7,0.7,0.7
7538,300,0.3,0.5,0.7,0.7,0.7
4350,250,0.4,0.6,0.6,0.7,0.7
8998,100,0.5,0.5,0.4,0.4,0.4
5097,150,0.4,0.5,0.5,0.6,0.7
2718,50,0.6,0.7,0.8,0.8,0.8
4543,50,0.4,0.5,0.6,0.7,0.6
8877,50,0.4,0.5,0.7,0.7,0.6
2836,50,0.7,0.8,0.8,0.8,0.8
8791,50,0.8,0.9,0.9,0.9,0.9
2782,300,0.3,0.4,0.6,0.6,0.7
1279,300,0.5,0.7,0.8,0.8,0.8
6442,400,0.2,0.3,0.4,0.4,0.5
1447,50,0.5,0.7,0.8,0.8,0.8
2872,50,0.5,0.6,0.7,0.7,0.7
6269,50,0.5,0.6,0.6,0.5,0.5
7302,350,0.8,0.8,0.8,0.8,0.8
9793,50,0.8,0.8,0.8,0.9,0.9
5191,200,0.3,0.5,0.5,0.5,0.5
4608,50,0.7,0.8,0.8,0.8,0.8
1999,50,0.5,0.7,0.7,0.6,0.6
1023,50,0.6,0.7,0.7,0.7,0.7
9225,250,0.3,0.3,0.3,0.4,0.3
2391,100,0.3,0.3,0.3,0.3,0.3
1874,100,0.5,0.6,0.6,0.6,0.5
9114,350,0.3,0.3,0.4,0.5,0.5
8238,50,0.4,0.5,0.6,0.6,0.6
4265,50,0.7,0.6,0.6,0.6,0.7
9495,150,0.4,0.5,0.6,0.5,0.5
3682,150,0.3,0.4,0.5,0.5,0.5
6974,100,0.5,0.7,0.7,0.6,0.6
6453,150,0.5,0.7,0.8,0.8,0.9
8476,50,0.6,0.7,0.8,0.7,0.7
2309,150,0.4,0.5,0.5,0.4,0.4
8263,50,0.6,0.7,0.7,0.8,0.8
6020,50,0.7,0.7,0.8,0.8,0.8
1216,50,0.6,0.6,0.6,0.6,0.6
1012,50,0.5,0.5,0.5,0.6,0.6
5012,50,0.8,0.8,0.7,0.7,0.6
1339,150,0.6,0.7,0.8,0.8,0.8
7181,50,0.7,0.8,0.8,0.8,0.8
4233,50,0.5,0.6,0.6,0.7,0.7
8649,100,0.7,0.8,0.8,0.8,0.8
2926,100,0.4,0.6,0.7,0.7,0.7
5022,350,0.3,0.4,0.5,0.4,0.4
5286,100,0.5,0.5,0.5,0.6,0.6
9916,150,0.4,0.5,0.7,0.7,0.7
6785,50,0.5,0.6,0.6,0.5,0.5
3300,50,0.5,0.6,0.5,0.5,0.5
555,50,0.8,0.8,0.8,0.8,0.7
3444,50,0.9,0.9,0.9,0.9,0.9
315,200,0.4,0.5,0.5,0.3,0.2
563,100,0.5,0.5,0.5,0.6,0.6
9629,100,0.4,0.4,0.4,0.5,0.5
9523,50,0.5,0.7,0.8,0.8,0.7
6979,650,0.2,0.3,0.2,0.1,0.1
9468,200,0.4,0.6,0.7,0.7,0.7
2544,150,0.4,0.5,0.5,0.5,0.5
5333,50,0.5,0.5,0.5,0.6,0.6
9877,50,0.7,0.7,0.8,0.7,0.7
687,400,0.4,0.6,0.6,0.6,0.5
7068,450,0.4,0.5,0.6,0.6,0.6
2754,50,0.7,0.8,0.8,0.8,0.8
8126,250,0.3,0.5,0.5,0.4,0.3
8440,150,0.8,0.9,0.9,0.9,0.9
4217,100,0.5,0.6,0.7,0.7,0.7
1925,50,0.8,0.8,0.9,0.9,0.8
6106,50,0.9,0.9,0.9,0.9,0.9
9166,250,0.3,0.5,0.6,0.6,0.6
4397,200,0.3,0.4,0.6,0.6,0.6
6060,100,0.6,0.7,0.7,0.6,0.6
8971,200,0.5,0.6,0.5,0.5,0.4
2060,100,0.4,0.6,0.7,0.7,0.7
2565,50,0.8,0.8,0.8,0.8,0.8
4522,100,0.4,0.5,0.5,0.5,0.4
1573,50,0.6,0.7,0.8,0.8,0.8
9555,800,0.3,0.4,0.5,0.6,0.6
4524,100,0.4,0.6,0.6,0.7,0.7
6186,50,0.5,0.8,0.9,0.9,1.0
1509,50,0.8,0.8,0.8,0.7,0.7
8049,200,0.4,0.6,0.7,0.8,0.8
