query_idx,ef_true,RV_normgauss_5.0,RV_normgauss_10.0,RV_normgauss_20.0,RV_normgauss_50.0,RV_normgauss_100.0
1730,2000,0.2,0.3,0.6,0.6,0.6
3464,1600,0.2,0.3,0.5,0.6,0.6
662,800,0.3,0.4,0.5,0.6,0.6
6236,1300,0.1,0.2,0.3,0.4,0.4
9488,350,0.2,0.3,0.4,0.5,0.5
2113,50,0.4,0.3,0.3,0.3,0.4
457,100,0.3,0.4,0.5,0.6,0.7
2411,50,0.3,0.3,0.4,0.5,0.5
3127,50,0.7,0.7,0.7,0.8,0.8
758,200,0.2,0.3,0.5,0.6,0.6
3863,50,0.6,0.7,0.7,0.8,0.8
7848,1300,0.2,0.3,0.5,0.6,0.5
1537,1800,0.1,0.3,0.4,0.4,0.4
8819,50,0.3,0.3,0.4,0.5,0.5
3537,2000,0.2,0.3,0.5,0.5,0.5
2606,50,0.3,0.4,0.4,0.6,0.6
7810,2000,0.2,0.3,0.4,0.5,0.4
8934,50,0.6,0.5,0.5,0.5,0.5
5896,100,0.2,0.3,0.4,0.5,0.5
6485,150,0.7,0.8,0.8,0.8,0.8
2463,150,0.3,0.3,0.2,0.2,0.1
9611,50,0.7,0.8,0.7,0.6,0.6
8876,400,0.3,0.5,0.7,0.8,0.9
4629,850,0.2,0.3,0.5,0.5,0.5
5430,50,0.5,0.5,0.5,0.5,0.5
1327,400,0.2,0.3,0.4,0.5,0.5
3742,50,0.6,0.6,0.6,0.6,0.6
409,2000,0.2,0.3,0.5,0.6,0.6
3272,50,0.6,0.6,0.5,0.5,0.5
1207,2000,0.2,0.3,0.4,0.5,0.5
9981,50,0.5,0.6,0.6,0.7,0.7
8017,100,0.5,0.5,0.6,0.7,0.7
6689,150,0.5,0.5,0.5,0.5,0.5
26,100,0.4,0.4,0.4,0.5,0.5
9529,2000,0.2,0.3,0.5,0.7,0.7
4768,50,0.7,0.7,0.6,0.6,0.6
7856,600,0.2,0.3,0.5,0.5,0.5
3287,2000,0.2,0.3,0.4,0.5,0.5
2192,100,0.5,0.6,0.6,0.6,0.6
7713,100,0.4,0.3,0.3,0.3,0.3
7057,250,0.2,0.2,0.3,0.3,0.3
