query_idx,ef_true,RV_normgauss_5.0,RV_normgauss_10.0,RV_normgauss_20.0,RV_normgauss_50.0,RV_normgauss_100.0
1730,250,0.4,0.6,0.7,0.7,0.7
3464,150,0.3,0.4,0.5,0.6,0.6
662,50,0.8,0.8,0.7,0.7,0.7
6236,50,0.6,0.6,0.6,0.7,0.7
9488,150,0.3,0.4,0.5,0.5,0.5
2113,50,0.7,0.9,1.0,1.0,1.0
457,50,0.4,0.5,0.6,0.7,0.7
2411,50,0.3,0.4,0.4,0.4,0.5
3127,100,0.6,0.7,0.8,0.8,0.8
758,50,0.7,0.7,0.6,0.6,0.6
3863,50,0.8,0.9,0.9,0.9,0.9
7848,50,0.7,0.8,0.8,0.8,0.7
1537,100,0.8,1.0,1.0,1.0,1.0
8819,50,0.7,0.7,0.7,0.7,0.7
3537,50,0.2,0.3,0.3,0.4,0.4
2606,50,0.5,0.7,0.8,0.8,0.9
7810,250,0.4,0.5,0.6,0.7,0.7
8934,50,0.8,0.8,0.8,0.8,0.7
5896,50,0.7,0.7,0.6,0.6,0.6
6485,50,0.6,0.6,0.6,0.6,0.6
2463,200,0.3,0.4,0.5,0.5,0.5
9611,50,0.9,0.9,0.9,0.9,0.9
8876,100,0.3,0.2,0.3,0.3,0.3
4629,50,0.6,0.6,0.7,0.7,0.7
5430,50,0.6,0.6,0.6,0.6,0.6
1327,300,0.5,0.7,0.8,0.8,0.8
3742,50,0.3,0.3,0.4,0.5,0.5
409,350,0.6,0.8,0.9,0.9,0.9
3272,100,0.4,0.5,0.5,0.5,0.4
1207,150,0.3,0.5,0.6,0.6,0.6
9981,200,0.6,0.7,0.8,0.9,0.9
8017,50,0.8,0.8,0.8,0.8,0.8
6689,50,0.9,0.9,0.9,0.9,0.9
26,100,0.6,0.8,0.8,0.8,0.8
9529,50,0.6,0.6,0.7,0.7,0.7
4768,50,0.5,0.5,0.6,0.6,0.6
7856,50,0.9,0.9,0.9,0.9,0.9
3287,50,0.7,0.7,0.7,0.6,0.6
2192,50,0.9,0.9,0.9,0.9,0.9
7713,200,0.4,0.5,0.5,0.5,0.5
7057,100,0.4,0.5,0.5,0.4,0.4
3714,50,0.5,0.5,0.5,0.4,0.4
9552,50,0.5,0.6,0.6,0.6,0.6
1544,150,0.4,0.5,0.6,0.6,0.5
3294,50,0.8,0.8,0.8,0.8,0.8
1193,50,0.5,0.6,0.6,0.6,0.6
4826,50,0.7,0.8,0.8,0.8,0.8
2631,100,0.5,0.6,0.6,0.7,0.7
2111,100,0.7,0.8,0.9,0.9,0.9
8093,100,0.3,0.4,0.5,0.6,0.6
4581,50,0.6,0.7,0.8,0.8,0.9
5049,50,0.6,0.7,0.7,0.7,0.7
5446,50,0.7,0.7,0.6,0.6,0.6
8484,100,0.5,0.7,0.7,0.7,0.7
3885,50,0.7,0.8,0.9,0.9,0.9
5098,50,0.6,0.5,0.5,0.6,0.6
8008,50,0.5,0.6,0.7,0.6,0.6
4623,50,0.7,0.6,0.6,0.6,0.6
3733,50,0.5,0.5,0.6,0.6,0.7
7324,50,0.5,0.6,0.6,0.6,0.6
6711,50,0.9,0.9,0.9,0.9,0.9
2966,50,0.5,0.6,0.6,0.6,0.7
5217,50,0.7,0.8,0.8,0.8,0.8
3812,200,0.4,0.5,0.5,0.6,0.5
2822,50,0.9,0.9,0.9,0.9,0.9
8276,50,0.7,0.8,0.8,0.8,0.7
2987,50,0.9,0.9,0.9,0.9,0.9
3868,100,0.5,0.6,0.6,0.6,0.6
1926,50,0.6,0.7,0.8,0.9,0.9
1351,50,0.5,0.6,0.7,0.6,0.6
2107,100,0.6,0.7,0.7,0.6,0.6
3453,50,0.8,0.9,0.9,0.9,0.9
3674,50,0.8,0.8,0.7,0.6,0.6
7538,50,0.9,0.8,0.8,0.8,0.8
4350,50,0.6,0.7,0.7,0.7,0.7
8998,50,0.6,0.6,0.6,0.6,0.6
5097,50,0.7,0.8,0.9,0.9,1.0
2718,50,0.5,0.6,0.6,0.6,0.7
4543,100,0.5,0.6,0.5,0.5,0.4
8877,50,0.5,0.6,0.6,0.6,0.6
2836,50,0.9,0.9,0.9,0.9,0.9
8791,100,0.4,0.7,0.8,0.8,0.9
2782,150,0.4,0.6,0.7,0.7,0.6
1279,100,0.6,0.7,0.8,0.7,0.7
6442,50,0.5,0.6,0.5,0.5,0.4
1447,50,0.7,0.7,0.7,0.7,0.7
2872,50,0.5,0.6,0.7,0.7,0.7
6269,50,0.4,0.4,0.4,0.4,0.4
7302,50,0.7,0.8,0.8,0.8,0.8
9793,50,0.9,0.9,0.9,0.9,0.9
5191,50,0.7,0.7,0.8,0.7,0.6
4608,100,0.5,0.6,0.7,0.8,0.8
1999,50,0.6,0.6,0.6,0.6,0.6
1023,100,0.6,0.7,0.7,0.7,0.7
9225,100,0.5,0.6,0.7,0.7,0.7
2391,50,0.4,0.4,0.4,0.4,0.4
1874,50,0.7,0.7,0.7,0.8,0.8
9114,50,0.6,0.5,0.6,0.6,0.6
8238,50,0.7,0.8,0.8,0.8,0.8
4265,50,0.6,0.7,0.8,0.7,0.7
9495,50,0.5,0.7,0.8,0.8,0.8
3682,50,0.8,0.9,0.9,0.9,0.9
6974,100,0.5,0.6,0.6,0.7,0.7
6453,50,0.6,0.6,0.7,0.7,0.7
8476,100,0.5,0.6,0.7,0.7,0.7
2309,50,0.5,0.5,0.6,0.6,0.7
8263,50,0.5,0.5,0.5,0.3,0.3
6020,50,0.6,0.7,0.7,0.7,0.7
1216,50,0.7,0.7,0.7,0.7,0.7
1012,150,0.5,0.6,0.6,0.6,0.6
5012,50,0.6,0.6,0.6,0.5,0.5
1339,50,0.5,0.5,0.5,0.6,0.6
7181,50,0.6,0.7,0.8,0.8,0.8
4233,50,0.6,0.7,0.8,0.8,0.8
8649,50,0.8,0.8,0.7,0.6,0.6
2926,100,0.5,0.6,0.6,0.5,0.5
5022,50,0.8,0.9,0.8,0.8,0.8
5286,100,0.7,0.7,0.7,0.6,0.6
9916,50,0.8,0.8,0.8,0.8,0.8
6785,50,0.4,0.5,0.6,0.7,0.8
3300,100,0.4,0.5,0.7,0.8,0.8
555,50,0.6,0.6,0.6,0.7,0.7
3444,100,0.3,0.4,0.5,0.5,0.5
315,50,0.4,0.6,0.7,0.7,0.7
