query_id,score,recall
0,75.1893,0.93
1,87.7588,1
2,69.7898,0.93
3,76.7736,1
4,70.0924,0.86
5,84.3835,0.96
6,63.3004,0.85
7,66.8944,0.7
8,65.2337,0.9
9,49.8251,0.86
10,67.8451,0.89
11,84.8538,0.99
12,72.0818,0.96
13,83.529,0.93
14,80.415,0.95
15,65.0035,0.77
16,46.1944,0.64
17,72.191,0.85
18,46.0986,0.71
19,64.8426,0.95
20,78.3785,0.9
21,90.0348,1
22,75.2601,0.99
23,65.0244,0.87
24,63.4475,0.63
25,83.5212,0.95
26,71.4019,0.91
27,42.2982,0.67
28,46.2372,0.79
29,87.9175,1
30,65.1124,0.59
31,80.3557,0.98
32,68.9924,0.83
33,69.5475,0.93
34,84.0682,1
35,62.6471,0.8
36,62.2632,0.82
37,90.2766,1
38,79.375,0.99
39,72.6263,0.83
40,59.4972,0.57
41,71.2178,0.97
42,78.4714,1
43,74.8232,0.96
44,58.6281,0.82
45,54.2566,0.61
46,82.6584,0.95
47,88.6825,1
48,65.826,0.68
49,59.365,0.66
50,66.2994,0.82
51,72.6346,0.91
52,79.7793,0.95
53,81.2592,0.93
54,50.9127,0.65
55,77.8602,0.9
56,89.587,1
57,64.5581,0.57
58,78.183,0.99
59,79.5441,1
60,68.0893,0.9
61,52.0897,0.85
62,61.0657,0.9
63,68.9449,0.57
64,84.5544,1
65,75.7809,0.95
66,73.3558,0.78
67,63.735,0.7
68,53.9126,0.81
69,60.1716,0.58
70,65.9169,0.87
71,76.5624,0.98
72,54.7597,0.8
73,77.5757,0.96
74,62.1783,0
75,64.1743,0.92
76,61.8033,0.77
77,86.6229,0.98
78,64.7745,0.9
79,65.9293,0.86
80,57.7453,0.94
81,78.6463,1
82,69.6743,0.92
83,66.9969,0.82
84,57.9142,0.78
85,80.7185,0.99
86,72.4134,0.91
87,89.0654,1
88,68.3285,0.86
89,57.329,0.75
90,69.9628,0.87
91,69.5859,0.43
92,63.3595,0.74
93,47.9255,0.42
94,79.5267,1
95,68.7143,0.79
96,88.7741,1
97,77.8712,1
98,71.6154,0.73
99,72.4128,0.99
100,80.915,0.99
101,74.0181,0.93
102,73.1505,0.94
103,68.7207,0.73
104,63.8521,0.85
105,52.2309,0.39
106,71.3691,0.99
107,66.4516,0.97
108,60.5528,0.38
109,71.2381,0.96
110,68.1944,0.84
111,62.7586,0.92
112,64.1099,0.64
113,70.0226,0.93
114,70.5598,0.95
115,63.8486,0.92
116,62.1164,0.66
117,87.2846,0.99
118,79.644,1
119,53.1532,0.74
120,81.5522,0.98
121,83.9374,0.98
122,55.1313,0.83
123,66.292,0.87
124,67.6953,0.75
125,62.5756,0.69
126,54.0808,0.81
127,51.5484,0.92
128,60.8076,0.67
129,70.1573,0.91
130,70.7147,0.83
131,67.3737,0.61
132,61.6973,0.72
133,61.6819,0.85
134,52.8299,0.66
135,60.2728,0.66
136,81.1995,0.98
137,73.8785,0.99
138,76.924,0.87
139,74.2843,0.98
140,67.835,0.86
141,65.6601,0.89
142,83.6138,0.91
143,55.7599,0.86
144,65.743,0.89
145,59.8832,0.95
146,80.4448,0.88
147,69.5014,0.97
148,68.1188,0.73
149,65.5002,0.9
150,63.7066,0.73
151,91.2679,0.99
152,61.4527,0.96
153,66.3864,0.78
154,65.8288,0.87
155,89.5636,1
156,66.1286,0.75
157,79.4277,0.97
158,91.7813,1
159,65.7568,0.92
160,79.5062,1
161,75.4923,0.92
162,71.1017,0.91
163,66.9605,1
164,59.9662,0.75
165,45.5839,0.71
166,51.8215,0.84
167,58.4761,0.74
168,60.8154,0.7
169,51.4436,0.6
170,66.4673,0.95
171,76.3002,0.86
172,85.0434,0.96
173,72.5782,0.95
174,76.1519,0.98
175,81.7811,0.98
176,61.0259,0.78
177,76.2972,0.99
178,83.6812,0.98
179,66.5736,0.87
180,70.7934,0.96
181,60.4791,0.65
182,60.1559,0.73
183,73.1412,0.93
184,64.9521,0.96
185,75.9875,0.8
186,78.437,0.99
187,66.3419,0.93
188,51.7405,0.68
189,60.8917,0.9
190,60.1403,0.8
191,81.9473,1
192,56.9078,0.71
193,62.2048,0.9
194,70.8635,0.83
195,57.3942,0.76
196,52.4226,0.82
197,82.9618,0.97
198,79.2689,0.99
199,58.0025,0.65
200,63.6156,0.91
201,62.8147,0.86
202,55.5158,0.91
203,73.4296,0.68
204,75.0128,0.78
205,75.7788,0.87
206,72.9758,0.86
207,58.6182,0.62
208,72.1431,0.72
209,52.8071,0.79
210,74.0908,0.79
211,61.42,0.82
212,54.2958,0.46
213,74.0924,0.92
214,74.3231,0.98
215,69.6645,0.85
216,80.6641,0.94
217,59.5328,0.82
218,80.5626,0.93
219,75.0284,0.94
220,76.1043,0.93
221,78.3776,0.99
222,81.4597,0.98
223,51.6338,0.72
224,67.2066,0.81
225,77.1644,0.98
226,53.1998,0.83
227,87.7871,1
228,66.7193,0.91
229,65.2775,0.83
230,74.0387,0.94
231,64.787,0.76
232,55.8286,0.92
233,59.8818,0.76
234,77.1361,0.84
235,61.7632,0.71
236,69.1899,0.83
237,63.8409,0.7
238,51.0702,0.72
239,79.9215,0.99
240,73.5775,0.79
241,83.8794,0.95
242,72.0636,0.58
243,84.3437,0.99
244,50.4254,0.89
245,51.2895,0.68
246,57.7978,0.73
247,70.8958,0.95
248,64.2385,0.84
249,67.7035,0.68
250,82.2724,0.99
251,77.4356,0.99
252,51.1803,0.73
253,71.1038,0.99
254,83.6302,0.98
255,53.9775,0.89
256,68.058,0.8
257,81.3739,0.97
258,59.2804,0.92
259,75.4401,0.98
260,73.9065,0.91
261,57.4496,0.75
262,83.1336,0.99
263,70.575,0.89
264,57.0538,0.75
265,67.6403,0.75
266,83.5694,1
267,82.7613,0.99
268,63.5307,0.86
269,62.5213,0.55
270,61.7901,0.77
271,55.1564,0.84
272,87.8726,0.99
273,79.2271,0.9
274,58.9557,0.85
275,68.3183,0.93
276,73.0615,0.93
277,53.57,0.78
278,79.7976,1
279,73.4236,0.96
280,72.5192,0.82
281,62.7703,0.74
282,51.831,0.64
283,70.868,0.95
284,54.2999,0.68
285,78.8926,0.83
286,58.2375,0.66
287,83.3217,0.99
288,72.7463,0.8
289,78.5227,0.98
290,69.3985,0.98
291,55.4785,0.78
292,65.2382,0.79
293,68.7494,0.82
294,62.3684,0.67
295,67.3922,0.94
296,85.7992,0.84
297,73.9924,0.92
298,84.9261,1
