query_idx,ef_true,RV_rank,m_LID
1730,50,0.727575,7.22803
3464,50,0.71935,11.5413
662,50,0.853298,9.15872
6236,200,0.757369,10.7912
9488,50,0.811476,7.65107
2113,150,0.542995,16.2578
457,50,0.699614,16.196
2411,50,0.745877,9.0137
3127,200,0.469339,18.1889
758,50,0.583701,10.228
3863,50,0.789235,10.9079
7848,150,0.428447,17.3606
1537,50,0.564702,10.8455
8819,100,0.692769,11.7307
3537,100,0.636351,13.2707
2606,1050,0.544288,13.717
7810,50,0.678595,14.3109
8934,50,0.669505,16.1381
5896,150,0.591843,11.2469
6485,250,0.53389,19.5885
2463,50,0.545151,13.9064
9611,100,0.538001,12.2399
8876,50,0.805589,10.4689
4629,50,0.802118,5.29223
5430,150,0.520433,13.4179
1327,50,0.551647,14.7764
3742,150,0.59713,10.6821
409,200,0.566216,11.3726
3272,50,0.699534,10.8659
1207,50,0.638519,15.8578
9981,50,0.484835,16.0687
8017,900,0.433185,19.177
6689,50,0.797111,9.88777
26,50,0.646585,7.7983
9529,100,0.500451,12.8895
4768,50,0.643332,12.4484
7856,50,0.684266,12.1406
3287,50,0.68112,9.34229
2192,50,0.783561,3.48319
7713,50,0.605638,12.8342
7057,50,0.605377,12.9657
3714,150,0.47694,13.1361
9552,150,0.53501,16.3598
1544,50,0.703309,11.0166
3294,50,0.819026,9.52453
1193,50,0.514891,12.3559
4826,400,0.44493,21.5586
2631,50,0.561553,14.1283
2111,50,0.806617,7.3907
8093,150,0.488908,12.9707
4581,50,0.605839,8.51231
5049,50,0.675768,10.8225
5446,150,0.503026,12.674
8484,50,0.471558,20.5534
3885,50,0.772154,10.4784
5098,50,0.723667,9.38495
8008,50,0.545893,11.4884
4623,50,0.733225,11.3288
3733,50,0.535589,14.7777
7324,100,0.633631,13.3735
6711,200,0.450335,16.5882
2966,50,0.735397,10.8846
5217,100,0.60471,11.2453
3812,50,0.472265,11.1061
2822,100,0.533888,13.1326
8276,50,0.559887,10.7902
2987,100,0.563309,18.6149
3868,50,0.789996,12.6025
1926,350,0.410921,13.4361
1351,50,0.674608,14.9485
2107,50,0.637102,10.7399
3453,50,0.783574,12.9842
3674,250,0.55963,11.0067
7538,300,0.397194,18.2756
4350,250,0.545002,19.0056
8998,100,0.693725,14.5779
5097,150,0.513264,17.0949
2718,50,0.641104,13.8892
4543,50,0.493483,12.5316
8877,50,0.536016,15.8231
2836,50,0.728209,10.717
8791,50,0.658052,7.44358
2782,300,0.440145,19.3468
1279,300,0.591192,19.4131
6442,400,0.377292,16.6404
1447,50,0.554677,11.8134
2872,50,0.53394,13.1095
6269,50,0.552808,17.2139
7302,350,0.903846,1.04166
9793,50,0.815351,8.17226
5191,200,0.474534,15.4483
4608,50,0.803736,6.67618
1999,50,0.531235,9.82872
1023,50,0.654688,10.8586
9225,250,0.440017,12.1646
2391,100,0.521313,12.5119
1874,100,0.545674,15.1905
9114,350,0.414263,18.9674
8238,50,0.537281,12.5207
4265,50,0.730827,10.7
9495,150,0.502367,18.2699
3682,150,0.396843,18.604
6974,100,0.601656,12.738
6453,150,0.565711,12.7852
8476,50,0.61387,13.2753
2309,150,0.577324,9.32745
8263,50,0.745372,9.27824
6020,50,0.836146,8.03542
1216,50,0.748208,12.727
1012,50,0.803023,8.97844
5012,50,0.807252,8.29419
1339,150,0.608765,13.9635
7181,50,0.728181,9.40333
4233,50,0.588057,15.9304
8649,100,0.736478,10.3463
2926,100,0.494708,15.8946
5022,350,0.4016,16.3808
5286,100,0.610745,16.2568
9916,150,0.461164,17.1873
6785,50,0.730568,7.6938
3300,50,0.640927,10.4346
555,50,0.825511,8.48595
3444,50,0.548518,4.06234
315,200,0.548935,20.6291
563,100,0.623309,11.0959
9629,100,0.518711,15.436
9523,50,0.53681,12.9749
6979,650,0.336316,26.6781
9468,200,0.490144,19.1107
2544,150,0.503332,18.0832
5333,50,0.690549,8.71103
9877,50,0.834486,5.89634
687,400,0.523712,12.9552
7068,450,0.515037,16.6674
2754,50,0.772087,8.19132
8126,250,0.48544,18.248
8440,150,0.784328,8.52745
4217,100,0.581104,11.6353
1925,50,0.752093,5.58286
6106,50,0.888907,6.54792
9166,250,0.474255,25.4466
4397,200,0.448337,24.1139
6060,100,0.708818,11.5334
8971,200,0.643763,13.4834
2060,100,0.490858,12.3313
2565,50,0.790565,6.81083
4522,100,0.521866,16.3997
1573,50,0.726288,14.2618
9555,800,0.457054,16.0295
4524,100,0.523885,15.1336
6186,50,0.57046,13.8675
1509,50,0.840584,12.1754
8049,200,0.427917,12.5107
6896,50,0.625176,10.6024
1771,300,0.424918,19.7331
5379,50,0.612513,9.70557
3401,50,0.753366,14.8217
1347,650,0.405455,14.361
3745,150,0.429948,14.1656
2556,300,0.478715,13.2767
3254,50,0.538233,12.9088
5042,50,0.818735,12.6088
4724,150,0.545484,14.7092
9449,50,0.782609,9.00593
9115,150,0.522908,14.9087
938,50,0.638988,9.87876
8623,100,0.589341,18.8775
5933,50,0.635962,14.5513
2137,50,0.752884,12.533
273,50,0.673968,9.483
7782,100,0.557549,11.8849
503,50,0.783963,9.25564
872,50,0.813704,13.0425
9059,100,0.675367,10.5407
4510,400,0.554634,13.6301
1585,50,0.788178,9.28835
6542,100,0.614453,21.44
3549,400,0.594931,13.3469
9332,50,0.648936,11.7441
488,200,0.477741,16.2655
7214,50,0.684498,7.93404
5018,50,0.786472,8.74328
8314,50,0.512245,15.65
9257,50,0.605131,12.9633
141,50,0.589788,10.6723
4595,50,0.827386,1.34449
5695,200,0.585727,14.4155
4579,50,0.599364,8.69534
7527,50,0.83114,5.97425
9321,50,0.858999,1.70701
239,50,0.760208,7.84925
5485,50,0.686995,7.04369
4188,900,0.374939,18.6035
7689,100,0.549838,12.7527
1027,50,0.646825,11.9532
9496,100,0.54815,11.3189
6090,100,0.414517,13.7396
4702,300,0.470413,12.9674
7879,200,0.518134,18.4042
4760,50,0.46336,11.037
1146,1200,0.354761,12.3457
6960,1200,0.36359,14.3664
351,50,0.631251,11.8896
1525,1550,0.419328,22.2742
9753,50,0.732145,13.9537
9619,1000,0.476275,19.2005
9715,100,0.538552,15.4016
5717,100,0.745624,10.0251
2452,100,0.702226,14.4935
7907,50,0.7311,14.7201
2356,800,0.486743,21.2426
9868,50,0.602343,10.7188
8833,100,0.496378,19.169
4525,100,0.61972,12.8426
4990,50,0.731588,9.68751
8237,200,0.480628,17.3784
9067,100,0.820308,10.7154
8468,50,0.699553,10.361
1029,50,0.683443,10.7964
251,50,0.702836,10.1172
4733,350,0.394641,16.8065
4528,150,0.480911,18.8481
817,50,0.699763,14.3942
3074,50,0.734151,9.04569
5494,100,0.689896,19.8445
102,50,0.750751,10.8098
3267,100,0.538396,16.7676
4610,50,0.745473,13.2862
4540,50,0.590808,10.7234
8958,250,0.475872,15.5882
3111,50,0.546339,15.0136
2860,100,0.603784,16.8078
5053,150,0.462153,11.1767
1616,50,0.798629,2.25014
6331,700,0.368311,20.5914
4979,200,0.556673,17.4269
