query_idx,ef_true,RV_rank,m_LID
1730,2000,0.342885,21.782
3464,1600,0.375569,19.1716
662,800,0.417558,22.2192
6236,1300,0.267039,36.5245
9488,350,0.435124,19.4357
2113,50,0.711757,13.0703
457,100,0.516349,12.2976
2411,50,0.5586,9.24841
3127,50,0.756133,17.4377
758,200,0.449871,15.7012
3863,50,0.75299,8.82217
7848,1300,0.423873,30.0239
1537,1800,0.282713,20.6591
8819,50,0.756935,6.14888
3537,2000,0.34681,20.9487
2606,50,0.605675,20.4868
7810,2000,0.344708,26.5426
8934,50,0.804523,5.05937
5896,100,0.482705,19.7766
6485,150,0.577163,10.224
2463,150,0.52827,17.8571
9611,50,0.804431,16.3556
8876,400,0.43378,26.2178
4629,850,0.342388,16.5448
5430,50,0.729468,10.0129
1327,400,0.373455,29.1558
3742,50,0.754798,6.07981
409,2000,0.333606,19.1886
3272,50,0.845364,6.6243
1207,2000,0.322942,35.3028
9981,50,0.665882,4.72844
8017,100,0.633995,19.6664
6689,150,0.625922,17.0264
26,100,0.590547,16.6439
9529,2000,0.399827,19.3999
4768,50,0.806775,5.26771
7856,600,0.383573,15.5591
3287,2000,0.344314,22.6859
2192,100,0.635916,15.0196
7713,100,0.577142,14.966
7057,250,0.561877,13.5065
3714,100,0.546824,16.6259
9552,100,0.456956,15.1499
1544,50,0.597072,14.8292
3294,100,0.618858,16.6854
1193,300,0.623752,21.1134
4826,100,0.610293,18.5341
2631,2000,0.431644,19.7796
2111,50,0.761219,6.85005
8093,1650,0.491043,9.98027
4581,350,0.543636,12.316
5049,50,0.566068,11.8929
5446,550,0.519654,15.5089
8484,50,0.650853,18.0386
3885,50,0.618862,10.345
5098,50,0.702219,3.19203
8008,2000,0.496144,17.8968
4623,50,0.705899,8.54917
3733,1300,0.349003,20.3047
7324,300,0.403101,20.2108
6711,900,0.464447,24.409
2966,2000,0.484457,27.8426
5217,100,0.576386,20.4999
3812,50,0.532271,19.6259
2822,200,0.510021,19.8608
8276,150,0.562798,18.2001
2987,50,0.809612,5.18935
3868,2000,0.302742,21.8834
1926,900,0.325333,24.9357
1351,50,0.768416,6.00297
2107,150,0.417423,20.7571
3453,1200,0.40932,18.8552
3674,50,0.619585,11.1771
7538,450,0.429072,13.8747
4350,200,0.493852,13.4388
8998,1950,0.315489,20.0737
5097,50,0.580996,16.1279
2718,50,0.696511,9.59247
4543,100,0.802973,16.9805
8877,50,0.795865,9.60655
2836,50,0.751326,18.7986
8791,100,0.627461,15.3058
2782,50,0.710071,12.7426
1279,50,0.567872,15.8071
6442,50,0.621438,13.8956
1447,900,0.367985,23.2193
2872,2000,0.387105,19.6777
6269,100,0.596848,15.6794
7302,50,0.790636,11.2727
9793,300,0.545766,22.2097
5191,50,0.757853,14.5001
4608,2000,0.358982,17.9788
1999,650,0.422984,16.1991
1023,2000,0.293513,29.4093
9225,950,0.538058,26.5786
2391,700,0.454948,18.2798
1874,200,0.492475,23.4234
9114,50,0.779017,4.53872
8238,50,0.578469,14.7742
4265,100,0.509189,18.2419
9495,300,0.398184,18.9696
3682,50,0.767093,8.15678
6974,100,0.765513,11.083
6453,200,0.403982,22.8825
8476,900,0.319512,18.7745
2309,50,0.80418,8.34982
8263,50,0.60743,9.80257
6020,50,0.765855,8.30375
1216,100,0.591776,9.33763
1012,50,0.524791,15.56
5012,1650,0.437593,23.0229
1339,50,0.747364,16.9984
7181,150,0.470756,24.9407
4233,300,0.323448,23.3059
8649,150,0.547239,10.8661
2926,150,0.440762,23.6473
5022,2000,0.380514,10.9005
5286,100,0.59993,14.0077
9916,100,0.446706,16.5897
6785,50,0.754508,9.06871
3300,50,0.644424,11.594
555,50,0.721951,15.2901
3444,1450,0.321354,13.1752
315,250,0.750111,13.4965
563,200,0.539901,19.4518
9629,50,0.51169,15.6876
9523,50,0.745986,13.2444
6979,200,0.342572,24.9514
9468,50,0.561839,8.75944
2544,250,0.39585,12.8688
5333,100,0.591438,20.3644
9877,50,0.549413,12.3496
687,100,0.704509,9.31183
7068,2000,0.3367,21.6433
2754,800,0.390083,22.4896
8126,50,0.505521,7.26821
8440,150,0.636161,16.0191
4217,1050,0.391361,19.2728
1925,50,0.699242,10.2571
6106,100,0.590037,16.3262
9166,50,0.663156,14.4272
4397,50,0.820671,8.97087
6060,2000,0.357318,19.3179
8971,50,0.800045,12.5329
2060,1900,0.313899,21.9851
