query_idx,ef_true,RV_rank,m_LID
1730,250,0.513996,14.4353
3464,150,0.504236,13.1224
662,50,0.812995,6.43124
6236,50,0.649491,12.7963
9488,150,0.487879,23.6416
2113,50,0.741389,9.94795
457,50,0.70913,7.60188
2411,50,0.482786,17.9479
3127,100,0.67143,11.6749
758,50,0.814837,5.76163
3863,50,0.602002,8.13517
7848,50,0.77551,10.7774
1537,100,0.51412,11.2977
8819,50,0.655708,6.24989
3537,50,0.655993,5.43494
2606,50,0.601453,12.2093
7810,250,0.520166,13.1874
8934,50,0.805116,8.42817
5896,50,0.789019,6.74518
6485,50,0.701132,9.48485
2463,200,0.473053,28.1737
9611,50,0.679626,4.59818
8876,100,0.645279,11.8377
4629,50,0.648538,14.2984
5430,50,0.629403,12.9869
1327,300,0.585041,16.8294
3742,50,0.678963,13.8895
409,350,0.646094,11.6802
3272,100,0.587204,16.3469
1207,150,0.465691,16.9334
9981,200,0.600162,12.2832
8017,50,0.833867,6.48795
6689,50,0.854929,4.43333
26,100,0.61224,11.2065
9529,50,0.773745,5.15862
4768,50,0.625077,10.5538
7856,50,0.833816,6.01182
3287,50,0.780021,7.75287
2192,50,0.775708,6.48661
7713,200,0.479994,18.3398
7057,100,0.537161,16.2979
3714,50,0.645148,9.63668
9552,50,0.648045,18.627
1544,150,0.55478,16.002
3294,50,0.773322,5.40858
1193,50,0.69738,7.50575
4826,50,0.692106,10.8185
2631,100,0.60034,13.7837
2111,100,0.67799,12.014
8093,100,0.604006,9.94736
4581,50,0.749518,9.42914
5049,50,0.702189,14.9299
5446,50,0.737227,11.024
8484,100,0.604395,17.9325
3885,50,0.738885,10.4712
5098,50,0.752937,8.2298
8008,50,0.660139,15.034
4623,50,0.744303,10.3713
3733,50,0.655072,8.40477
7324,50,0.593908,21.1972
6711,50,0.880952,3.42946
2966,50,0.556212,6.80664
5217,50,0.735555,9.90574
3812,200,0.627158,10.5169
2822,50,0.705677,2.54667
8276,50,0.711894,9.14571
2987,50,0.779925,3.25186
3868,100,0.613616,14.7832
1926,50,0.695414,10.8996
1351,50,0.627405,12.2453
2107,100,0.634055,10.7568
3453,50,0.635449,6.61452
3674,50,0.834918,5.46949
7538,50,0.886243,3.27972
4350,50,0.681178,11.4916
