query_idx,M,M_R,ef_assigned,actual_recall
1730,1.08915,0.101066,2925,0.8
3464,0.959207,0.117038,662,0.9
662,0.853046,0.145214,287,0.9
6236,1.0689,0.0700923,1575,1
9488,0.880026,0.155527,300,0.9
2113,0.727841,0.351822,50,1
457,0.704974,0.215391,67,0
2411,0.724973,0.211751,67,1
3127,0.376753,0.444891,50,1
758,0.924171,0.142387,550,1
3863,0.468073,0.374849,50,1
7848,1.12434,0.135103,1155,0.9
1537,0.926403,0.0774454,2430,1
8819,0.322595,0.385382,50,1
3537,1.00198,0.10161,1950,0.9
2606,0.742414,0.257052,100,1
7810,1.0486,0.123244,992,0.9
8934,0.384446,0.449281,50,1
5896,0.897231,0.197249,275,1
6485,0.466239,0.218721,95,0.9
2463,0.751984,0.227285,102,0.9
9611,0.411699,0.49114,50,1
8876,0.958246,0.145784,1210,1
4629,1.06651,0.0981392,1350,1
5430,0.692546,0.347685,50,1
1327,0.845369,0.132144,640,1
3742,0.488622,0.418012,50,1
409,0.94516,0.0988127,662,0.8
3272,0.334429,0.546262,50,1
1207,1.17193,0.081549,2660,0.9
9981,0.424683,0.301598,50,1
8017,0.524641,0.304188,50,0.8
6689,0.671987,0.271807,100,0.9
26,0.608965,0.274207,57,1
9529,0.894429,0.127759,700,0.9
4768,0.324472,0.503856,50,1
7856,0.95207,0.13121,520,0.8
3287,0.891294,0.119041,530,0.8
2192,0.724217,0.282689,100,1
7713,0.70235,0.251844,50,0.9
7057,0.629541,0.22841,50,0.9
3714,0.730658,0.252005,50,0.7
9552,0.930232,0.160531,175,1
1544,0.742727,0.24493,100,1
3294,0.839939,0.276315,100,1
1193,0.928421,0.25291,162,0.8
4826,0.41095,0.306736,50,0.9
2631,1.073,0.160251,1180,0.9
2111,0.419925,0.415061,50,1
8093,0.558495,0.167497,172,0.6
4581,0.605834,0.226938,102,0.9
5049,0.642076,0.232088,50,1
5446,0.826508,0.217437,175,0.8
8484,0.874069,0.290463,230,1
3885,0.591574,0.299014,50,1
5098,0.143733,0.329569,50,1
8008,0.897022,0.207437,102,0.8
4623,0.433389,0.337571,50,1
3733,0.953348,0.109446,662,0.9
7324,0.877273,0.129549,422,1
6711,1.04167,0.159838,1180,1
2966,0.931627,0.195295,465,0.8
5217,0.871944,0.249858,200,1
3812,0.919127,0.207855,102,1
2822,0.824993,0.198997,100,0.9
8276,0.663171,0.220035,125,1
2987,0.371799,0.447093,50,1
3868,0.973716,0.090328,2070,0.9
1926,1.10889,0.0913792,2660,1
1351,0.280923,0.411372,50,1
2107,0.929501,0.155451,175,1
3453,0.940131,0.148711,550,0.8
3674,0.618361,0.258454,50,1
7538,0.637992,0.134972,367,0.9
4350,0.655048,0.192367,67,0.9
8998,0.999125,0.1022,1950,1
5097,0.619677,0.21533,50,1
2718,0.598526,0.315499,50,1
4543,0.394876,0.576563,50,0.9
8877,0.489018,0.43759,50,1
2836,0.386267,0.495444,50,1
8791,0.706691,0.276251,100,1
2782,0.671264,0.363022,50,1
1279,0.632311,0.232955,50,1
6442,0.856467,0.261886,62,1
1447,0.842499,0.116084,1407,1
2872,0.781466,0.145797,1072,0.9
6269,0.908804,0.244369,100,1
7302,0.717678,0.475175,50,1
9793,0.783571,0.264377,100,0.9
5191,0.695249,0.401723,50,1
4608,1.03002,0.104742,1950,0.7
1999,0.886863,0.146872,460,0.8
1023,1.04703,0.0845653,1575,0.9
9225,0.736419,0.242816,50,0.7
2391,0.786377,0.175989,190,0.8
1874,0.846481,0.196218,207,1
9114,0.287067,0.460764,50,1
8238,0.674237,0.237633,50,1
4265,0.837067,0.183525,130,1
9495,0.859606,0.127936,640,1
3682,0.489117,0.408291,50,1
6974,0.654498,0.401038,50,0.9
6453,0.957446,0.137872,525,1
8476,0.844664,0.0885156,922,1
2309,0.609348,0.459453,50,1
8263,0.616067,0.269154,57,1
6020,0.482092,0.396331,50,1
1216,0.461174,0.268154,50,0.9
1012,0.786192,0.196164,150,1
5012,1.05024,0.184004,3187,1
1339,0.622262,0.405396,50,1
7181,0.903896,0.170538,275,1
4233,0.987345,0.100869,1140,1
8649,0.790951,0.199464,150,1
2926,0.893423,0.162887,345,1
5022,0.724909,0.102845,4100,1
5286,0.580242,0.264953,50,0.9
9916,0.732293,0.172986,107,1
6785,0.449493,0.42861,50,1
3300,0.740445,0.315554,50,1
555,0.588423,0.345591,50,1
3444,0.723272,0.0927608,1922,1
315,0.755359,0.407992,140,0.9
563,0.863531,0.21864,114,0.9
9629,0.824941,0.221489,175,1
9523,0.560401,0.396481,50,1
6979,0.978095,0.114912,662,1
9468,0.610345,0.204307,50,1
2544,0.830286,0.131178,220,1
5333,0.897756,0.259729,100,1
9877,0.711863,0.206798,67,1
687,0.348063,0.364147,50,0.9
7068,0.858562,0.10613,2155,0.9
2754,0.989912,0.131708,992,1
8126,0.558223,0.173072,172,1
8440,0.620001,0.337251,50,0.7
4217,0.860377,0.127652,640,0.9
1925,0.500285,0.329605,50,1
6106,0.817115,0.22785,147,1
9166,0.848767,0.280793,102,1
4397,0.508832,0.507892,50,1
6060,1.11187,0.111696,1439,0.9
8971,0.350596,0.520346,50,1
2060,1.04868,0.0852504,1575,0.9
2565,0.387459,0.676641,50,1
4522,0.620058,0.268297,57,0.6
1573,0.787226,0.290949,62,1
9555,0.857908,0.240208,100,1
4524,0.3698,0.19481,50,1
6186,1.0046,0.0953781,1950,1
1509,0.919232,0.139857,500,0.9
8049,0.926042,0.169126,350,1
6896,0.590368,0.404589,50,0.9
1771,0.932958,0.12427,819,0.8
5379,0.477457,0.357782,50,1
3401,0.709085,0.403128,50,0.8
1347,0.994257,0.19026,600,0.9
3745,0.863576,0.354751,50,1
2556,0.755492,0.277749,50,1
3254,0.420247,0.23679,50,1
5042,0.819047,0.212754,175,1
4724,0.855927,0.228108,100,0.9
9449,0.494157,0.283234,50,1
9115,0.984323,0.19311,690,0.9
