query_idx,ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0,RV_gamma_50.0,RV_gamma_100.0
1730,50,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.9,0.9
3464,50,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.8
662,50,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.9
6236,200,0.3,0.4,0.4,0.4,0.5,0.7,0.8,0.6,0.0
9488,50,0.4,0.4,0.5,0.5,0.6,0.8,0.9,0.9,0.0
2113,150,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
457,50,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.0
2411,50,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.9,0.1
3127,200,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.0,0.0
758,50,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
3863,50,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8
7848,150,0.1,0.1,0.1,0.2,0.2,0.3,0.6,0.0,0.0
1537,50,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0
8819,100,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.0,0.0
3537,100,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.3,0.0
2606,1050,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.0,0.0
7810,50,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.8
8934,50,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.5,0.0
5896,150,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0
6485,250,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.9,0.0
2463,50,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.9,0.0
9611,100,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
8876,50,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8
4629,50,0.4,0.4,0.4,0.5,0.6,0.7,0.9,0.9,0.9
5430,150,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.7,0.0
1327,50,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
3742,150,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.8,0.0
409,200,0.2,0.2,0.2,0.3,0.3,0.5,0.7,0.0,0.0
3272,50,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.9,0.0
1207,50,0.3,0.3,0.3,0.3,0.4,0.6,0.8,0.0,0.0
9981,50,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
8017,900,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.0,0.0
6689,50,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,0.1
26,50,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.8,0.8
9529,100,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.9,0.0
4768,50,0.2,0.2,0.3,0.3,0.4,0.6,0.8,0.3,0.0
7856,50,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.8,0.0
3287,50,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.6
2192,50,0.3,0.3,0.4,0.4,0.6,0.7,0.9,0.9,0.9
7713,50,0.2,0.2,0.2,0.3,0.3,0.5,0.6,0.8,0.0
7057,50,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.8,0.0
3714,150,0.1,0.1,0.2,0.2,0.3,0.6,0.9,0.9,0.0
9552,150,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0
1544,50,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.8,0.0
3294,50,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.4
1193,50,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.8,0.0
4826,400,0.1,0.1,0.2,0.2,0.2,0.4,0.6,0.0,0.0
2631,50,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.0
2111,50,0.4,0.4,0.4,0.5,0.5,0.7,0.8,0.9,0.0
8093,150,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
4581,50,0.3,0.3,0.3,0.3,0.4,0.6,0.8,0.8,0.3
5049,50,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.0,0.0
5446,150,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
8484,50,0.1,0.2,0.2,0.2,0.2,0.4,0.6,0.0,0.0
3885,50,0.4,0.4,0.4,0.4,0.5,0.6,0.8,0.9,0.1
5098,50,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.0
8008,50,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
4623,50,0.3,0.3,0.4,0.4,0.5,0.6,0.8,0.9,0.0
3733,50,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.0
7324,100,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.8,0.0
6711,200,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.0,0.0
2966,50,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,0.8
5217,100,0.2,0.3,0.3,0.3,0.4,0.6,0.7,0.0,0.0
3812,50,0.1,0.1,0.2,0.2,0.3,0.5,0.8,0.0,0.0
2822,100,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.6,0.0
8276,50,0.2,0.2,0.2,0.2,0.4,0.6,0.8,0.0,0.0
2987,100,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.3,0.0
3868,50,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.8,0.9
1926,350,0.1,0.1,0.1,0.1,0.2,0.4,0.7,0.0,0.0
1351,50,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.0
2107,50,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.9,0.0
3453,50,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.1,0.0
3674,250,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.0,0.0
7538,300,0.1,0.1,0.1,0.1,0.2,0.4,0.6,0.0,0.0
4350,250,0.2,0.2,0.2,0.2,0.3,0.5,0.7,0.0,0.0
8998,100,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.3,0.0
5097,150,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.6,0.0
2718,50,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.8,0.0
4543,50,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
8877,50,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.7
2836,50,0.3,0.3,0.3,0.4,0.5,0.7,0.8,0.1,0.0
8791,50,0.2,0.3,0.3,0.3,0.4,0.6,0.8,0.9,0.9
2782,300,0.1,0.2,0.2,0.2,0.3,0.4,0.6,0.0,0.0
1279,300,0.2,0.2,0.2,0.3,0.3,0.5,0.6,0.1,0.0
6442,400,0.1,0.1,0.1,0.1,0.2,0.3,0.6,0.0,0.0
1447,50,0.2,0.2,0.2,0.2,0.4,0.5,0.8,0.0,0.0
2872,50,0.2,0.2,0.2,0.2,0.3,0.5,0.8,0.0,0.0
6269,50,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.7,0.0
7302,350,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9
