query_idx,ef_true,recall_at_ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0
1730,50,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.7
3464,50,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.5
662,50,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
6236,200,1.0,0.3,0.3,0.3,0.4,0.5,0.6,0.7
9488,50,1.0,0.3,0.4,0.4,0.4,0.5,0.7,0.8
2113,150,1.0,0.1,0.1,0.2,0.2,0.2,0.3,0.5
457,50,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.5
2411,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
3127,200,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
758,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
3863,50,1.0,0.3,0.3,0.4,0.4,0.4,0.5,0.6
7848,150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
1537,50,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.5
8819,100,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
3537,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
2606,1050,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
7810,50,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.4
8934,50,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.6
5896,150,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.5
6485,250,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
2463,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.7
9611,100,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.7
8876,50,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4
4629,50,1.0,0.3,0.3,0.3,0.4,0.5,0.6,0.8
5430,150,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4
1327,50,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6
3742,150,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.5
409,200,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
3272,50,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.6
1207,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.7
9981,50,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
8017,900,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
6689,50,1.0,0.3,0.3,0.4,0.4,0.4,0.5,0.6
26,50,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.5
9529,100,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
4768,50,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
7856,50,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.6
3287,50,1.0,0.2,0.3,0.3,0.3,0.3,0.4,0.5
2192,50,1.0,0.3,0.4,0.4,0.4,0.6,0.7,0.8
7713,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
7057,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
3714,150,1.0,0.1,0.1,0.1,0.2,0.3,0.6,0.8
9552,150,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
1544,50,1.0,0.2,0.2,0.2,0.3,0.3,0.4,0.6
3294,50,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
1193,50,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
4826,400,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
2631,50,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
2111,50,1.0,0.3,0.3,0.3,0.4,0.4,0.6,0.7
8093,150,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.5
4581,50,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.8
5049,50,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.7
5446,150,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
8484,50,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
3885,50,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
5098,50,1.0,0.2,0.3,0.3,0.3,0.4,0.5,0.6
8008,50,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6
4623,50,1.0,0.3,0.3,0.3,0.3,0.4,0.6,0.7
3733,50,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4
7324,100,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
6711,200,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
2966,50,1.0,0.3,0.3,0.3,0.3,0.3,0.4,0.5
5217,100,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
3812,50,1.0,0.1,0.1,0.1,0.2,0.3,0.5,0.7
2822,100,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.4
8276,50,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.7
2987,100,1.0,0.2,0.2,0.2,0.2,0.2,0.3,0.4
3868,50,1.0,0.3,0.3,0.3,0.3,0.4,0.4,0.6
1926,350,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
1351,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
2107,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
3453,50,1.0,0.3,0.3,0.3,0.4,0.5,0.6,0.7
3674,250,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.8
7538,300,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
4350,250,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6
8998,100,1.0,0.2,0.2,0.3,0.3,0.3,0.4,0.6
5097,150,1.0,0.1,0.1,0.2,0.2,0.2,0.3,0.5
2718,50,1.0,0.2,0.2,0.2,0.2,0.3,0.3,0.5
4543,50,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
8877,50,1.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2
2836,50,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.7
8791,50,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.8
2782,300,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
1279,300,1.0,0.1,0.2,0.2,0.2,0.2,0.4,0.6
6442,400,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.5
1447,50,1.0,0.1,0.1,0.1,0.2,0.3,0.5,0.7
2872,50,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.7
6269,50,1.0,0.1,0.1,0.1,0.2,0.2,0.2,0.3
7302,350,1.0,0.7,0.7,0.7,0.7,0.7,0.8,0.8
9793,50,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
5191,200,1.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3
4608,50,1.0,0.3,0.3,0.3,0.3,0.4,0.4,0.4
1999,50,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.7
1023,50,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
9225,250,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.6
2391,100,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
1874,100,1.0,0.1,0.1,0.2,0.2,0.2,0.3,0.5
9114,350,1.0,0.1,0.1,0.1,0.1,0.1,0.2,0.4
8238,50,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
4265,50,1.0,0.3,0.3,0.3,0.3,0.5,0.6,0.8
9495,150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
3682,150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
6974,100,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.5
