query_idx,ef_true,recall_at_ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0
1730,4200,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.0
3464,1600,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.6
662,800,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
6236,1300,1.0,0.1,0.1,0.1,0.1,0.1,0.3,0.1
9488,350,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6
2113,50,1.0,0.3,0.3,0.4,0.4,0.5,0.7,0.8
457,100,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.8
2411,50,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.8
3127,50,1.0,0.4,0.4,0.4,0.4,0.5,0.6,0.7
758,200,1.0,0.1,0.1,0.1,0.2,0.3,0.5,0.4
3863,50,1.0,0.3,0.3,0.4,0.4,0.5,0.7,0.9
7848,1300,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.1
1537,1800,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
8819,50,1.0,0.3,0.3,0.4,0.5,0.7,0.9,0.9
3537,2250,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.2
2606,50,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
7810,2200,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4
8934,50,1.0,0.4,0.4,0.4,0.5,0.7,0.9,0.9
5896,100,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.1
6485,150,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.8
2463,150,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.6
9611,50,1.0,0.4,0.4,0.5,0.5,0.6,0.7,0.8
8876,400,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
4629,850,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.0
5430,50,1.0,0.3,0.3,0.4,0.4,0.6,0.8,0.8
1327,400,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
3742,50,1.0,0.4,0.4,0.4,0.5,0.6,0.8,0.9
409,5000,0.9,0.1,0.1,0.1,0.1,0.2,0.4,0.3
3272,50,1.0,0.5,0.5,0.5,0.6,0.7,0.9,0.9
1207,3450,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.0
9981,50,1.0,0.2,0.3,0.3,0.4,0.6,0.8,0.9
8017,100,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
6689,150,1.0,0.2,0.3,0.3,0.3,0.4,0.6,0.7
26,100,1.0,0.2,0.3,0.3,0.3,0.4,0.5,0.7
9529,2950,1.0,0.1,0.1,0.1,0.2,0.3,0.5,0.4
4768,50,1.0,0.4,0.4,0.5,0.6,0.7,0.8,0.9
7856,600,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.2
3287,2150,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
2192,100,1.0,0.2,0.3,0.3,0.3,0.4,0.6,0.8
7713,100,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
7057,250,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.7
3714,100,1.0,0.2,0.2,0.3,0.3,0.4,0.5,0.8
9552,100,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.7
1544,50,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.8
3294,100,1.0,0.2,0.3,0.3,0.3,0.4,0.5,0.7
1193,300,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
4826,100,1.0,0.3,0.3,0.3,0.3,0.4,0.4,0.6
2631,2600,1.0,0.1,0.2,0.2,0.2,0.3,0.4,0.1
2111,50,1.0,0.4,0.4,0.4,0.5,0.7,0.8,0.9
8093,1650,1.0,0.1,0.2,0.2,0.2,0.4,0.7,0.8
