query_id,score,recall
0,55.6581,0.24
1,52.0529,0.68
2,60.3849,0.72
3,50.4878,0.16
4,63.3257,0.74
5,57.9198,0.32
6,81.9893,0.96
7,49.8615,0.14
8,82.403,0.86
9,33.279,0.44
10,86.4626,0.94
11,54.0041,0.26
12,65.37,0.68
13,70.1528,0.76
14,87.6965,1
15,56.6569,0.94
16,92.8534,1
17,58.4908,0.86
18,78.7277,0.7
19,60.7855,0.72
20,52.5344,0.56
21,60.8333,0.46
22,53.3995,0.42
23,84.3864,0.96
24,58.1868,0.24
25,61.3037,0.76
26,52.4793,0.74
27,46.9858,0.34
28,69.1646,0.62
29,43.3213,0.3
30,73.1115,0.8
31,30.6451,0.56
32,71.3485,0.8
33,76.3403,0.9
34,50.8483,0.64
35,70.3559,0.66
36,69.3122,0.62
37,66.8826,0.9
38,55.1015,0.82
39,51.474,0.22
40,60.1082,0.24
41,48.9149,0.18
42,64.1669,0.9
43,80.8686,1
44,55.6121,0.7
45,58.6896,0.84
46,43.2945,0.16
47,74.099,0.72
48,49.1903,0.3
49,83.3081,1
50,88.008,0.96
51,82.2317,0.9
52,53.6538,0.64
53,55.072,0.5
54,69.1521,0.7
55,74.2687,0.62
56,55.58,0.6
57,38.1328,0.88
58,55.6055,0.5
59,53.7498,0.1
60,81.4901,0.96
61,72.5213,0.8
62,56.7002,0.22
63,79.3821,0.98
64,59.9559,0.62
65,58.4962,0.34
66,76.9217,0.94
67,57.9325,0.72
68,59.1962,0.82
69,49.9255,0.2
70,53.5728,0.3
71,83.7951,1
72,57.7094,0.62
73,82.8963,0.8
74,56.1998,0.62
75,72.1335,1
76,66.4639,0.84
77,67.5467,0.42
78,49.298,0.4
79,47.5799,0.48
80,59.0688,0.48
81,76.245,0.92
82,48.2659,0.26
83,72.0976,0.98
84,68.8701,0.72
85,76.8565,0.88
86,64.039,0.92
87,82.8608,0.96
88,83.7402,0.98
89,79.2551,0.78
90,39.4196,0.32
91,86.011,0.96
92,49.9459,0.5
93,77.836,0.98
94,47.3469,0.12
95,70.1839,0.72
96,66.8641,0.78
97,67.0781,0.92
98,56.1585,0.56
99,55.2699,0.8
100,73.4599,0.56
101,44.4872,0.06
102,47.501,0.5
103,56.0795,0.74
104,52.2266,0.3
105,72.8404,0.78
106,60.0447,0.6
107,68.6688,0.82
108,85.2369,1
109,40.0436,0.48
110,65.9793,0.38
111,83.2566,0.98
112,54.8497,0.52
113,58.9959,0.48
114,60.3396,0.2
115,51.2215,0.14
116,52.8499,0.36
117,26.4798,0.62
118,85.7647,1
119,50.8145,0.58
120,69.3519,0.98
121,58.054,0.92
122,58.9317,0.4
123,48.2174,0.1
124,61.142,0.58
125,55.834,0.58
126,66.3288,0.76
127,38.0274,0.24
128,76.2353,0.92
129,83.4921,0.86
130,91.1837,1
131,83.4956,0.96
132,50.8957,0.88
133,86.4564,1
134,48.4513,0.28
135,50.2848,0.5
136,80.3095,0.88
137,63.1726,0.76
138,77.4525,1
139,51.5613,0.42
140,63.6082,0.9
141,81.4001,0.98
142,69.1092,0.94
143,76.9197,0.98
144,47.8811,0.62
145,40.0837,0.28
146,41.4143,0.76
147,74.805,0.96
148,88.3781,0.92
149,54.9462,0.64
150,52.1593,0.9
151,61.0668,0.74
152,72.3952,0.78
153,81.1504,0.78
154,55.9691,0.52
155,79.5278,0.96
156,72.0168,0.58
157,62.993,0.84
158,56.9508,0.46
159,57.986,0.74
160,63.7594,0.92
161,73.3637,1
162,59.9063,0.72
163,45.2206,0.28
164,87.8923,0.98
165,56.1138,0.92
166,42.1293,0.7
167,58.8699,0.2
168,52.9982,0.12
169,71.1307,0.64
170,56.4517,0.7
171,73.378,0.92
172,51.1106,0.02
173,52.5081,0.34
174,42.8296,0.26
175,45.6137,0.78
176,43.3383,0.36
177,53.136,0.76
178,65.7276,0.72
179,86.4688,1
180,61.2804,0.6
181,74.2703,0.9
182,83.7238,1
183,50.2085,0.26
184,73.4813,0.86
185,59.0953,0.76
186,58.8697,0.48
187,72.0231,0.92
188,79.8813,0.78
189,60.8427,0.2
190,51.8516,0.32
191,58.9965,0.68
192,81.3395,0.92
193,39.0843,0.3
194,54.8294,0.44
195,62.8707,0.94
196,80.4625,0.96
197,88.2282,0.96
198,46.6661,0.2
199,81.6685,0.92
200,55.4797,0.32
201,55.4502,0.42
202,82.8464,0.72
203,59.2743,0.32
204,74.7442,0.86
205,84.4872,1
206,63.3822,0.9
207,82.7243,1
208,57.7058,0.34
209,50.1554,0.56
210,38.1034,0.36
211,64.9043,0.82
212,54.3662,0.68
