query_idx,RC,RV_rank,ef_true
1730,1.83629,0.404786,2000
3464,2.08506,0.447111,1601
662,2.34454,0.484848,768
6236,1.87109,0.329573,1281
9488,2.27266,0.49938,320
2113,2.74785,0.752093,64
457,2.83698,0.579578,128
2411,2.75872,0.629194,64
3127,5.30852,0.786646,64
758,2.1641,0.522069,192
3863,4.27284,0.795974,64
7848,1.77882,0.493929,1345
1537,2.15889,0.34414,1793
8819,6.19971,0.806774,64
3537,1.99605,0.413695,2000
2606,2.69392,0.660519,64
7810,1.90731,0.395073,2000
8934,5.20229,0.84231,64
5896,2.22908,0.534201,128
6485,4.28964,0.651717,128
2463,2.65963,0.576285,128
9611,4.85792,0.832047,64
8876,2.08715,0.498933,448
4629,1.87528,0.409061,896
5430,2.8879,0.776461,64
1327,2.36583,0.429882,384
3742,4.09314,0.798386,64
409,2.11604,0.395209,2000
3272,5.98033,0.866606,64
1207,1.70658,0.394083,2000
9981,4.70939,0.735116,64
8017,3.81213,0.686693,128
6689,2.97625,0.678792,192
26,3.28426,0.638023,64
9529,2.23606,0.465473,2000
4768,6.16385,0.832838,64
7856,2.10069,0.448352,576
3287,2.24393,0.397752,2000
2192,2.7616,0.691464,128
7713,2.84758,0.636987,64
7057,3.17692,0.620016,256
3714,2.73726,0.591275,128
9552,2.15,0.523563,128
1544,2.69278,0.664508,64
3294,2.38112,0.667785,128
1193,2.1542,0.688841,320
4826,4.86677,0.65301,128
2631,1.86392,0.488341,2000
2111,4.76275,0.802041,64
8093,3.58105,0.55897,1665
4581,3.30123,0.611375,320
5049,3.1149,0.625667,64
5446,2.41982,0.582243,576
8484,2.28815,0.697118,64
3885,3.38082,0.671282,64
5098,13.9147,0.760317,64
8008,2.2296,0.545802,2000
4623,4.6148,0.763305,64
3733,2.09787,0.412601,1345
7324,2.27979,0.467576,320
6711,1.91999,0.533157,896
2966,2.14678,0.533792,2000
5217,2.29373,0.618192,128
3812,2.17598,0.602382,64
2822,2.42426,0.568665,192
8276,3.01581,0.623837,128
2987,5.37924,0.846659,64
3868,2.05399,0.368439,2000
1926,1.8036,0.389525,960
1351,7.11938,0.816966,64
2107,2.15169,0.477399,192
3453,2.12736,0.471804,1217
3674,3.23435,0.682621,64
7538,3.13484,0.506371,448
4350,3.05321,0.551253,192
8998,2.00175,0.369521,1921
5097,3.22749,0.647933,64
2718,3.34154,0.753828,64
4543,5.06488,0.822695,128
8877,4.08983,0.83069,64
2836,5.17777,0.772702,64
8791,2.83009,0.68192,64
2782,2.97945,0.75483,64
1279,3.163,0.629198,64
6442,2.33517,0.675431,64
1447,2.37389,0.431626,896
2872,2.55929,0.435994,2000
6269,2.2007,0.664191,64
7302,2.78676,0.813702,64
9793,2.55242,0.587303,320
5191,2.87667,0.79638,64
4608,1.9417,0.428167,2000
1999,2.25514,0.488427,640
1023,1.91017,0.3571,2000
9225,2.71584,0.586936,960
2391,2.54331,0.509843,704
