query_idx,ef_true,RV_log,m_LID
1730,2000,0.229015,21.782
3464,1600,0.229484,19.1716
662,800,0.242085,22.2192
6236,1300,0.163021,36.5245
9488,350,0.216124,19.4357
2113,50,0.370217,13.0703
457,100,0.35193,12.2976
2411,50,0.357945,9.24841
3127,50,0.387947,17.4377
758,200,0.306297,15.7012
3863,50,0.543973,8.82217
7848,1300,0.216632,30.0239
1537,1800,0.205495,20.6591
8819,50,0.537853,6.14888
3537,2000,0.238689,20.9487
2606,50,0.294113,20.4868
7810,2000,0.169343,26.5426
8934,50,0.601573,5.05937
5896,100,0.252085,19.7766
6485,150,0.397793,10.224
2463,150,0.239064,17.8571
9611,50,0.466126,16.3556
8876,400,0.240205,26.2178
4629,850,0.215908,16.5448
5430,50,0.48456,10.0129
1327,400,0.203688,29.1558
3742,50,0.489119,6.07981
409,2000,0.220436,19.1886
3272,50,0.600961,6.6243
1207,2000,0.205237,35.3028
9981,50,0.562648,4.72844
8017,100,0.405631,19.6664
6689,150,0.318995,17.0264
26,100,0.307482,16.6439
9529,2000,0.310279,19.3999
4768,50,0.592672,5.26771
7856,600,0.238558,15.5591
3287,2000,0.2167,22.6859
2192,100,0.354323,15.0196
7713,100,0.281743,14.966
7057,250,0.278424,13.5065
3714,100,0.254646,16.6259
9552,100,0.278197,15.1499
1544,50,0.338349,14.8292
3294,100,0.333448,16.6854
1193,300,0.305055,21.1134
4826,100,0.247938,18.5341
2631,2000,0.229358,19.7796
2111,50,0.44369,6.85005
8093,1650,0.325254,9.98027
4581,350,0.347836,12.316
5049,50,0.279719,11.8929
5446,550,0.278368,15.5089
8484,50,0.322241,18.0386
3885,50,0.318597,10.345
5098,50,0.572997,3.19203
8008,2000,0.267468,17.8968
4623,50,0.438019,8.54917
3733,1300,0.226127,20.3047
7324,300,0.289817,20.2108
6711,900,0.311004,24.409
2966,2000,0.248588,27.8426
5217,100,0.252457,20.4999
3812,50,0.333554,19.6259
2822,200,0.224091,19.8608
8276,150,0.253434,18.2001
2987,50,0.603157,5.18935
3868,2000,0.1768,21.8834
1926,900,0.246535,24.9357
1351,50,0.580598,6.00297
2107,150,0.21449,20.7571
3453,1200,0.250647,18.8552
3674,50,0.415549,11.1771
7538,450,0.318129,13.8747
4350,200,0.276383,13.4388
8998,1950,0.208474,20.0737
5097,50,0.34971,16.1279
2718,50,0.431704,9.59247
4543,100,0.434088,16.9805
8877,50,0.538209,9.60655
2836,50,0.279316,18.7986
8791,100,0.371295,15.3058
2782,50,0.413302,12.7426
1279,50,0.265959,15.8071
6442,50,0.335227,13.8956
1447,900,0.244407,23.2193
2872,2000,0.212872,19.6777
6269,100,0.339397,15.6794
7302,50,0.376748,11.2727
9793,300,0.193675,22.2097
5191,50,0.379478,14.5001
4608,2000,0.267702,17.9788
1999,650,0.257412,16.1991
1023,2000,0.192965,29.4093
9225,950,0.267047,26.5786
2391,700,0.259811,18.2798
1874,200,0.258182,23.4234
9114,50,0.42482,4.53872
8238,50,0.334973,14.7742
4265,100,0.229065,18.2419
9495,300,0.268712,18.9696
3682,50,0.464598,8.15678
6974,100,0.489676,11.083
6453,200,0.230831,22.8825
8476,900,0.221193,18.7745
2309,50,0.505572,8.34982
8263,50,0.474593,9.80257
6020,50,0.51968,8.30375
1216,100,0.399369,9.33763
1012,50,0.260594,15.56
