query_idx,ef_true,MR_gauss_5,MR_log
1730,4200,0.210864,0.229015
3464,1600,0.217536,0.229484
662,800,0.239661,0.242085
6236,1300,0.145125,0.163022
9488,350,0.253577,0.216124
2113,50,0.52437,0.370217
457,100,0.380029,0.35193
2411,50,0.391996,0.357945
3127,50,0.511385,0.387947
758,200,0.295908,0.306297
3863,50,0.542208,0.543973
7848,1300,0.236238,0.216632
1537,1800,0.15419,0.205496
8819,50,0.721787,0.537853
3537,2250,0.189371,0.238689
2606,50,0.400489,0.294113
7810,2200,0.199498,0.169343
8934,50,0.73278,0.601573
5896,100,0.320023,0.252085
6485,150,0.387234,0.397793
2463,150,0.336265,0.239064
9611,50,0.605148,0.466126
8876,400,0.248356,0.240205
4629,850,0.203566,0.215908
5430,50,0.579214,0.48456
1327,400,0.208146,0.203688
3742,50,0.631931,0.489119
409,5000,0.20331,0.220436
3272,50,0.739499,0.600961
1207,3450,0.17699,0.205237
9981,50,0.621097,0.562648
8017,100,0.392751,0.405631
6689,150,0.404928,0.318995
26,100,0.394068,0.307482
9529,2950,0.255458,0.310279
4768,50,0.74043,0.592672
7856,600,0.249622,0.238558
3287,2150,0.19246,0.2167
2192,100,0.425636,0.354323
7713,100,0.402996,0.281743
7057,250,0.375412,0.278424
3714,100,0.383085,0.254646
9552,100,0.296005,0.278197
1544,50,0.410945,0.338349
3294,100,0.411964,0.333448
1193,300,0.435924,0.305055
4826,100,0.3622,0.247938
2631,2600,0.270882,0.229358
2111,50,0.65178,0.44369
8093,1650,0.353567,0.325254
4581,350,0.439634,0.347836
5049,50,0.367661,0.279719
5446,550,0.38309,0.278368
8484,50,0.474912,0.322241
3885,50,0.480282,0.318597
5098,50,0.662069,0.572997
8008,2650,0.334321,0.267468
4623,50,0.636182,0.438019
3733,1300,0.195307,0.226127
7324,300,0.255453,0.289817
6711,900,0.290856,0.311004
2966,2700,0.303554,0.248588
5217,100,0.389007,0.252457
3812,50,0.383742,0.333554
2822,200,0.309871,0.224091
8276,150,0.364235,0.253434
2987,50,0.679369,0.603157
3868,2350,0.177271,0.176799
1926,900,0.183496,0.246535
1351,50,0.680234,0.580598
2107,150,0.258987,0.21449
3453,1200,0.246143,0.250647
3674,50,0.454679,0.415549
7538,450,0.260142,0.318129
4350,200,0.329588,0.276382
8998,1950,0.182541,0.208473
5097,50,0.394816,0.34971
2718,50,0.57207,0.431704
4543,100,0.645025,0.434087
8877,50,0.685164,0.538209
