M_bin,RV_bin,ef,actual_recall
1,3,250,1
1,4,100,0.96
1,5,100,1
1,6,50,0.957143
1,7,50,0.995
1,8,50,0.988462
1,9,50,0.9975
1,10,50,1
2,3,1050,0.966667
2,4,100,0.98
2,5,100,0.95
2,6,50,0.958333
2,7,50,0.952
2,8,50,0.97
2,9,50,0.991803
2,10,50,0.998148
3,2,750,1
3,3,100,0.95
3,4,250,0.963636
3,5,150,0.95
3,6,100,0.966667
3,7,50,0.966667
3,8,50,0.978049
3,9,50,0.993617
3,10,50,0.994444
4,1,1650,1
4,2,750,0.966667
4,3,850,0.95
4,4,250,0.963636
4,5,150,0.964286
4,6,100,0.96875
4,7,50,0.952941
4,8,50,0.972093
4,9,50,0.973684
4,10,50,0.990476
5,1,600,1
5,2,850,0.95
5,3,450,0.95
5,4,200,0.955556
5,5,200,0.963636
5,6,100,0.959375
5,7,100,0.98
5,8,50,0.963636
5,9,50,0.983333
5,10,50,1
6,1,800,0.95
6,2,300,0.953846
6,3,400,0.95
6,4,250,0.952941
6,5,250,0.959459
6,6,200,0.961111
6,7,100,0.95
6,8,100,0.964286
6,9,50,0.957143
6,10,50,1
7,1,2000,0.941667
7,2,1200,0.952381
7,3,550,0.951351
7,4,500,0.9525
7,5,450,0.957576
7,6,250,0.966667
7,7,200,0.955556
7,8,100,0.97
7,9,50,1
7,10,50,1
8,1,1200,0.956
8,2,900,0.95
8,3,700,0.953333
8,4,450,0.957143
8,5,550,0.952381
8,6,600,0.95
8,7,150,0.95
8,8,100,0.95
9,1,1900,0.95
9,2,1300,0.95
9,3,1200,0.951163
9,4,1750,0.952
9,5,550,0.961538
9,6,600,0.975
9,7,450,0.96
9,8,1050,1
9,9,1050,1
10,1,2000,0.921569
10,2,2000,0.923913
10,3,2000,0.904
10,4,2000,0.93125
10,5,2000,0.925
10,6,100,1
10,7,250,1
