RC_bin,RV_bin,ef,actual_recall
"(1.50643,1.81852]","(0.283138,0.350629]","5000","0.940857"
"(1.50643,1.81852]","(0.350629,0.371701]","5000","0.930556"
"(1.50643,1.81852]","(0.371701,0.39101]","5000","0.916667"
"(1.50643,1.81852]","(0.39101,0.410952]","4497","0.95"
"(1.50643,1.81852]","(0.410952,0.428833]","5000","0.944615"
"(1.50643,1.81852]","(0.428833,0.448421]","5000","0.943333"
"(1.50643,1.81852]","(0.448421,0.464558]","5000","0.945"
"(1.50643,1.81852]","(0.464558,0.482669]","5000","0.94"
"(1.50643,1.81852]","(0.482669,0.506981]","5000","0.92"
"(1.50643,1.81852]","(0.506981,0.531115]","5000","0.925"
"(1.50643,1.81852]","(0.531115,0.558808]","631","0.95"
"(1.81852,1.90036]","(0.283138,0.350629]","5000","0.948696"
"(1.81852,1.90036]","(0.350629,0.371701]","4813","0.95"
"(1.81852,1.90036]","(0.371701,0.39101]","5000","0.944375"
"(1.81852,1.90036]","(0.39101,0.410952]","4892","0.951429"
"(1.81852,1.90036]","(0.410952,0.428833]","4023","0.95"
"(1.81852,1.90036]","(0.428833,0.448421]","4023","0.951667"
"(1.81852,1.90036]","(0.448421,0.464558]","4418","0.95"
"(1.81852,1.90036]","(0.464558,0.482669]","3629","0.95"
"(1.81852,1.90036]","(0.482669,0.506981]","3865","0.95"
"(1.81852,1.90036]","(0.506981,0.531115]","4102","0.955"
"(1.81852,1.90036]","(0.606487,0.631008]","2051","0.95"
"(1.90036,1.99084]","(0.283138,0.350629]","4023","0.950556"
"(1.90036,1.99084]","(0.350629,0.371701]","3471","0.951111"
"(1.90036,1.99084]","(0.371701,0.39101]","3629","0.95"
"(1.90036,1.99084]","(0.39101,0.410952]","4023","0.95"
"(1.90036,1.99084]","(0.410952,0.428833]","3550","0.95"
"(1.90036,1.99084]","(0.428833,0.448421]","1735","0.95"
"(1.90036,1.99084]","(0.448421,0.464558]","5000","0.948571"
"(1.90036,1.99084]","(0.464558,0.482669]","3234","0.95"
"(1.90036,1.99084]","(0.482669,0.506981]","4892","0.95"
"(1.90036,1.99084]","(0.506981,0.531115]","2761","0.95"
"(1.90036,1.99084]","(0.57998,0.606487]","1735","0.95"
"(1.90036,1.99084]","(0.631008,0.656416]","788","0.95"
"(1.90036,1.99084]","(0.681525,0.710171]","2051","0.95"
"(1.99084,2.06846]","(0.283138,0.350629]","4418","0.951111"
"(1.99084,2.06846]","(0.350629,0.371701]","3787","0.951111"
"(1.99084,2.06846]","(0.371701,0.39101]","3156","0.95"
"(1.99084,2.06846]","(0.39101,0.410952]","2998","0.950556"
"(1.99084,2.06846]","(0.410952,0.428833]","2998","0.951"
"(1.99084,2.06846]","(0.428833,0.448421]","2209","0.95"
"(1.99084,2.06846]","(0.448421,0.464558]","2288","0.95"
"(1.99084,2.06846]","(0.464558,0.482669]","4023","0.95"
"(1.99084,2.06846]","(0.482669,0.506981]","2525","0.95"
"(1.99084,2.06846]","(0.506981,0.531115]","1735","0.95"
"(1.99084,2.06846]","(0.531115,0.558808]","2761","0.953333"
"(1.99084,2.06846]","(0.558808,0.57998]","2682","0.95"
"(1.99084,2.06846]","(0.57998,0.606487]","3313","0.95"
"(2.06846,2.14348]","(0.283138,0.350629]","2840","0.95"
"(2.06846,2.14348]","(0.350629,0.371701]","3313","0.95"
"(2.06846,2.14348]","(0.371701,0.39101]","1656","0.951"
"(2.06846,2.14348]","(0.39101,0.410952]","2288","0.95"
"(2.06846,2.14348]","(0.410952,0.428833]","2209","0.950714"
"(2.06846,2.14348]","(0.428833,0.448421]","2051","0.953333"
"(2.06846,2.14348]","(0.448421,0.464558]","2919","0.95"
"(2.06846,2.14348]","(0.464558,0.482669]","2367","0.951667"
"(2.06846,2.14348]","(0.482669,0.506981]","473","0.96"
"(2.06846,2.14348]","(0.506981,0.531115]","1183","0.951667"
"(2.06846,2.14348]","(0.531115,0.558808]","867","0.95"
"(2.06846,2.14348]","(0.558808,0.57998]","867","0.95"
"(2.06846,2.14348]","(0.606487,0.631008]","788","0.95"
"(2.06846,2.14348]","(0.631008,0.656416]","552","0.95"
"(2.14348,2.20748]","(0.283138,0.350629]","4260","0.953333"
"(2.14348,2.20748]","(0.350629,0.371701]","1656","0.953333"
"(2.14348,2.20748]","(0.371701,0.39101]","1972","0.951667"
"(2.14348,2.20748]","(0.39101,0.410952]","1893","0.95"
"(2.14348,2.20748]","(0.410952,0.428833]","1972","0.952857"
"(2.14348,2.20748]","(0.428833,0.448421]","1498","0.951875"
"(2.14348,2.20748]","(0.448421,0.464558]","1498","0.951538"
"(2.14348,2.20748]","(0.464558,0.482669]","1340","0.951111"
"(2.14348,2.20748]","(0.482669,0.506981]","1735","0.95"
"(2.14348,2.20748]","(0.506981,0.531115]","1814","0.9525"
"(2.14348,2.20748]","(0.531115,0.558808]","1814","0.95"
"(2.14348,2.20748]","(0.558808,0.57998]","946","0.96"
"(2.14348,2.20748]","(0.57998,0.606487]","1656","0.9525"
"(2.14348,2.20748]","(0.606487,0.631008]","1419","0.95"
"(2.14348,2.20748]","(0.656416,0.681525]","631","0.95"
"(2.20748,2.29054]","(0.283138,0.350629]","5000","0.943333"
"(2.20748,2.29054]","(0.350629,0.371701]","1735","0.953333"
"(2.20748,2.29054]","(0.371701,0.39101]","1498","0.951667"
"(2.20748,2.29054]","(0.39101,0.410952]","2130","0.95"
"(2.20748,2.29054]","(0.410952,0.428833]","2209","0.951111"
"(2.20748,2.29054]","(0.428833,0.448421]","1262","0.95"
"(2.20748,2.29054]","(0.448421,0.464558]","2919","0.95"
"(2.20748,2.29054]","(0.464558,0.482669]","1340","0.95"
"(2.20748,2.29054]","(0.482669,0.506981]","1262","0.951818"
"(2.20748,2.29054]","(0.506981,0.531115]","1735","0.95375"
"(2.20748,2.29054]","(0.531115,0.558808]","552","0.956"
"(2.20748,2.29054]","(0.558808,0.57998]","1104","0.955"
"(2.20748,2.29054]","(0.57998,0.606487]","2761","0.95"
"(2.20748,2.29054]","(0.606487,0.631008]","2130","0.95"
"(2.20748,2.29054]","(0.631008,0.656416]","1735","0.95"
"(2.20748,2.29054]","(0.656416,0.681525]","1183","0.95"
"(2.29054,2.36299]","(0.283138,0.350629]","5000","0.94"
"(2.29054,2.36299]","(0.350629,0.371701]","2840","0.95"
"(2.29054,2.36299]","(0.371701,0.39101]","4102","0.95"
