M_bin,m_bin,ef,actual_recall
1,1,50,1
1,2,50,0.994667
1,3,50,0.981395
1,4,200,0.986207
1,5,100,0.98125
1,6,2000,0.98
1,7,150,0.98
1,8,50,1
1,9,50,1
1,10,50,1
1,11,50,1
1,12,50,1
1,17,50,1
2,1,50,1
2,2,50,0.99619
2,3,50,0.987097
2,4,50,0.991111
2,5,150,0.98125
2,6,150,0.9875
2,7,400,0.98125
2,8,350,0.985714
2,9,100,0.991667
2,10,50,1
2,11,100,1
2,12,100,1
2,13,100,1
2,14,50,1
2,15,50,1
2,16,100,1
2,17,250,1
2,19,50,1
3,1,50,1
3,2,50,0.992754
3,3,50,0.992857
3,4,50,0.990741
3,5,50,0.993939
3,6,100,0.982143
3,7,50,0.98
3,8,150,0.982353
3,9,100,0.992857
3,10,50,0.985714
3,11,5000,0.975
3,12,50,1
3,13,100,0.983333
3,14,100,1
3,15,100,1
3,16,100,1
3,17,100,1
3,18,50,0.98
3,19,100,1
3,22,100,1
4,1,50,1
4,2,50,0.996721
4,3,50,0.983051
4,4,50,0.9875
4,5,50,0.984314
4,6,150,0.987097
4,7,200,0.982143
4,8,350,0.980952
4,9,200,0.988889
4,10,450,0.98
4,11,100,0.9875
4,12,150,0.985714
4,13,50,1
4,14,100,1
4,15,150,1
4,16,100,1
4,17,100,1
4,18,100,1
4,19,100,1
4,20,50,1
4,21,150,1
5,1,50,1
5,2,50,0.994286
5,3,50,0.988889
5,4,100,0.992308
5,5,100,0.983929
5,6,150,0.983333
5,7,150,0.981818
5,8,50,0.989474
5,9,200,0.983333
5,10,100,0.983333
5,11,100,0.99
5,12,150,0.988889
5,13,200,0.98
5,14,2150,1
5,15,150,1
5,16,100,1
5,17,100,0.983333
5,18,100,1
5,19,100,1
5,21,100,1
5,22,100,1
5,23,100,1
5,24,150,1
6,1,50,1
6,2,50,1
6,3,50,0.985
6,4,50,0.990385
6,5,50,0.981818
6,6,350,0.984211
6,7,100,0.9875
6,8,200,0.983871
6,9,150,0.987097
6,10,600,0.984615
6,11,400,0.982353
6,12,150,0.992308
6,13,300,0.983333
6,14,200,1
6,15,150,1
6,16,550,1
6,17,150,1
6,18,50,1
6,19,150,1
6,20,100,1
6,21,50,1
6,23,150,1
7,1,50,1
7,2,50,1
7,3,50,0.997368
7,4,100,0.986842
7,5,150,0.984091
7,6,150,0.986364
7,7,100,0.987805
7,8,150,0.986842
7,9,600,0.981481
7,10,1050,0.98
7,11,100,1
7,12,250,0.982353
7,13,150,0.982353
7,14,100,1
7,15,100,0.98
7,16,150,1
7,17,100,1
7,18,200,1
7,19,100,1
7,20,250,1
7,21,250,1
7,22,50,1
7,24,100,1
7,25,250,1
8,1,50,1
8,2,50,0.992857
8,3,50,0.992308
8,4,100,0.988462
8,5,50,0.980435
8,6,250,0.987179
8,7,200,0.984783
8,8,250,0.982857
8,9,250,0.984848
8,10,150,0.981081
8,11,100,0.9875
8,12,550,0.981818
8,13,250,0.983333
8,14,100,0.988889
8,15,200,0.990909
8,16,250,0.983333
8,17,100,1
8,18,300,1
8,19,100,1
8,20,300,1
8,22,100,1
8,23,200,1
8,24,150,1
9,1,50,1
9,2,50,1
9,3,50,1
9,4,150,0.988889
9,5,100,0.988889
9,6,100,0.985294
9,7,150,0.991667
9,8,500,0.984211
9,9,250,0.98
9,10,850,0.983333
9,11,200,0.990909
9,12,200,0.983333
9,13,500,0.982759
9,14,1150,0.989474
9,15,650,0.983333
9,16,150,0.983333
9,17,150,0.9875
9,18,200,0.985714
9,20,200,1
9,21,300,1
9,22,200,1
9,24,100,1
10,2,50,1
10,3,50,1
10,4,100,0.985714
10,5,50,0.986957
10,6,100,0.983333
10,7,300,0.991304
10,8,150,0.990244
10,9,150,0.981818
10,10,250,0.982353
10,11,300,0.987805
10,12,350,0.98
10,13,750,0.980769
10,14,100,0.988235
10,15,450,0.985714
10,16,650,0.981818
10,17,750,0.983333
10,18,200,0.985714
10,19,200,0.985714
10,20,50,0.98
10,21,150,0.983333
10,22,3450,1
10,23,300,1
10,24,150,1
11,3,50,1
11,4,50,0.985714
11,5,100,0.984211
11,6,1150,0.983333
11,7,700,0.98
11,8,200,0.982051
11,9,400,0.982051
11,10,950,0.981818
11,11,300,0.980952
11,12,150,0.991304
11,13,250,0.981818
11,14,200,0.991304
11,15,1300,0.982609
11,16,300,0.989474
11,17,300,0.98
11,18,200,0.98
11,19,200,0.98
11,20,550,0.985714
11,21,100,1
11,22,600,1
11,23,500,1
11,24,200,1
12,3,700,1
12,4,250,0.985714
12,5,200,0.988889
12,6,450,0.988235
12,7,750,0.984615
12,8,350,0.981481
12,9,200,0.984615
12,10,300,0.986111
12,11,400,0.986207
12,12,350,0.991429
12,13,300,0.981481
12,14,1000,0.990909
12,15,450,0.98
12,16,250,0.983333
12,17,200,0.989474
12,18,350,0.9875
12,19,200,0.986667
12,20,200,0.9875
12,21,400,0.9875
12,22,300,1
12,23,100,1
12,24,250,1
12,25,950,1
13,2,50,1
13,3,50,1
13,5,50,0.98
13,6,200,0.98
13,7,300,0.980952
13,8,150,0.981481
13,9,250,0.986207
13,10,900,0.98125
13,11,300,0.980952
13,12,350,0.983333
13,13,350,0.982353
13,14,400,0.980556
13,15,500,0.980952
13,16,1200,0.982609
13,17,700,0.982353
13,18,350,0.983333
13,19,800,0.982353
13,20,200,0.984615
13,21,700,0.9875
13,22,1350,0.990909
13,23,550,1
13,24,200,1
13,25,250,1
14,4,50,1
14,5,600,1
14,6,100,0.981818
14,7,200,0.98
14,8,300,0.985714
14,9,600,0.981481
14,10,450,0.980645
14,11,300,0.981481
14,12,350,0.982353
14,13,450,0.980645
14,14,650,0.981818
14,15,900,0.985294
14,16,400,0.980952
14,17,500,0.982759
14,18,650,0.986207
14,19,700,0.98125
14,20,450,0.984615
14,21,300,0.988889
14,22,250,0.983333
14,23,150,0.98
14,24,250,1
14,25,800,0.985714
15,6,50,1
15,7,400,0.981818
15,8,150,0.982353
15,9,150,0.981818
15,10,1150,0.982609
15,11,500,0.980769
15,12,650,0.981818
15,13,500,0.98
15,14,650,0.981818
15,15,550,0.983333
15,16,650,0.98125
15,17,850,0.986364
15,18,400,0.984615
15,19,400,0.982143
15,20,950,0.981481
15,21,450,0.988889
15,22,500,0.993333
15,23,400,0.9875
15,24,450,0.983333
16,6,50,1
16,7,50,1
16,8,900,0.984615
16,9,1200,0.985714
16,10,400,0.981818
16,11,650,0.982143
16,12,850,0.982857
16,13,550,0.982759
16,14,400,0.981579
16,15,800,0.982143
16,16,650,0.98
16,17,650,0.981818
16,18,1500,0.982759
16,19,1150,0.980645
16,20,700,0.983333
16,21,300,0.98
16,22,700,0.98
16,23,250,0.98
16,24,600,0.983333
16,25,450,0.98
17,5,650,1
17,6,50,1
17,7,2350,0.98
17,8,700,0.98
17,9,1100,0.983333
17,10,700,0.986667
17,11,550,0.988889
17,12,2000,0.98125
17,13,850,0.98125
17,14,1750,0.98125
17,15,1100,0.982857
17,16,1100,0.981818
17,17,1100,0.980952
17,18,400,0.982759
17,19,500,0.980769
17,20,800,0.981481
17,21,800,0.981818
17,22,1550,0.983333
17,23,1050,0.981818
17,24,550,0.98
17,25,5000,0.975
18,6,50,1
18,7,900,1
18,8,900,1
18,9,1600,0.98
18,10,1450,1
18,11,1500,0.988889
18,12,1450,0.984211
18,13,1100,0.981818
18,14,1150,0.98
18,15,1150,0.982051
18,16,1000,0.98
18,17,2400,0.982143
18,18,1050,0.98
18,19,650,0.986207
18,20,950,0.981081
18,21,1200,0.981481
18,22,1200,0.982609
18,23,500,0.981818
18,24,1000,0.984615
18,25,2800,1
19,7,4100,1
19,8,1000,1
19,9,400,0.983333
19,10,2150,0.983333
19,11,1850,0.988889
19,12,2050,0.983333
19,13,2300,0.982609
19,14,1350,0.981818
19,15,2200,0.982759
19,16,2450,0.982353
19,17,1300,0.98
19,18,1000,0.983871
19,19,1550,0.981081
19,20,1650,0.981081
19,21,1400,0.981081
19,22,1400,0.980769
19,23,1050,0.98125
19,24,1150,0.98
19,25,850,0.981818
20,8,1800,1
20,9,3550,1
20,10,3800,1
20,11,1800,1
20,12,350,0.9875
20,13,2000,0.98125
20,14,4100,0.983333
20,15,1900,0.981818
20,16,3400,0.983333
20,17,3450,0.981081
20,18,3300,0.981818
20,19,2400,0.981395
20,20,1950,0.981481
20,21,1950,0.980556
20,22,2900,0.98125
20,23,1700,0.981818
20,24,1250,0.982353
20,25,1500,0.980952
21,11,3050,0.98
21,12,1200,0.98
21,13,3000,0.983333
21,14,2950,0.983333
21,15,3100,0.986364
21,16,4500,0.98
21,17,2050,0.98
21,18,3200,0.980769
21,19,2950,0.98
21,20,2350,0.983784
21,21,3550,0.98
21,22,3100,0.98
21,23,2750,0.982051
21,24,2100,0.980851
21,25,1550,0.98
22,9,5000,0.9
22,10,850,1
22,12,1400,0.98
22,13,1050,0.98
22,14,1900,0.983333
22,15,5000,0.961538
22,16,1600,0.98
22,17,2750,0.980952
22,18,4100,0.982051
22,19,3550,0.982759
22,20,3150,0.981579
22,21,4550,0.981633
22,22,3600,0.982927
22,23,3400,0.98
22,24,2350,0.982222
22,25,2900,0.981081
23,11,2650,1
23,13,5000,0.9
23,14,1800,1
23,15,5000,0.975
23,16,2650,0.984615
23,17,3250,0.982353
23,18,4250,0.98
23,19,5000,0.975758
23,20,2800,0.98
23,21,4900,0.98
23,22,5000,0.979167
23,23,4050,0.981633
23,24,5000,0.97551
23,25,5000,0.976667
24,14,5000,0.975
24,15,3600,0.98
24,16,3300,1
24,17,5000,0.966667
24,18,5000,0.928571
24,19,5000,0.961538
24,20,5000,0.963333
24,21,4650,0.981818
24,22,5000,0.973684
24,23,5000,0.965455
24,24,5000,0.974627
24,25,5000,0.972414
25,14,3100,1
25,15,4300,1
25,16,5000,0.975
25,17,5000,0.966667
25,18,3000,0.98
25,19,5000,0.966667
25,20,5000,0.942857
25,21,5000,0.976667
25,22,5000,0.948718
25,23,5000,0.968254
25,24,5000,0.968132
25,25,5000,0.970896
