M_bin,m_bin,ef,actual_recall
1,1,50,0.997531
1,2,50,0.993478
1,3,50,0.992308
1,4,50,0.98
1,5,50,0.983333
1,6,50,0.966667
1,8,50,1
1,9,100,1
1,11,100,1
1,15,50,1
2,1,50,0.998214
2,2,50,0.994286
2,3,50,0.982927
2,4,50,0.977778
2,5,100,1
2,6,100,0.983333
2,7,100,0.972727
2,8,100,1
2,9,50,1
2,10,50,1
2,12,150,1
2,13,100,1
2,14,50,1
2,15,100,1
3,1,50,0.995
3,2,50,0.9875
3,3,50,0.978846
3,4,50,0.968889
3,5,100,0.968
3,6,100,0.978947
3,7,100,0.990909
3,8,50,1
3,9,450,0.971429
3,10,100,0.966667
3,11,50,0.966667
3,12,250,1
3,14,150,1
3,15,150,1
4,1,50,0.985714
4,2,50,0.995122
4,3,50,0.968966
4,4,100,0.995556
4,5,100,0.984615
4,6,50,0.98
4,7,100,0.986667
4,8,250,0.96
4,9,100,0.98
4,10,50,1
4,11,100,0.966667
4,12,100,0.975
4,14,100,0.966667
4,16,100,1
4,19,150,1
4,20,50,1
5,1,50,1
5,2,50,0.963636
5,3,50,0.965
5,4,100,0.985
5,5,100,0.975
5,6,100,0.974074
5,7,100,0.973333
5,8,100,0.965385
5,9,100,0.963636
5,10,250,0.972727
5,11,150,0.966667
5,12,150,0.981818
5,13,1050,1
5,14,50,1
5,15,550,1
5,16,50,1
5,17,200,1
6,1,50,0.975
6,2,50,0.97
6,3,100,0.978261
6,4,150,0.975862
6,5,150,0.964516
6,6,250,0.963636
6,7,200,0.96
6,8,150,0.965
6,9,450,0.96
6,10,100,0.971429
6,11,150,0.963636
6,12,300,0.975
6,13,250,0.966667
6,14,200,1
6,15,250,0.96
6,16,150,0.975
6,17,400,0.96
6,18,250,1
6,19,200,1
7,1,550,1
7,2,50,1
7,3,100,0.964286
7,4,150,0.965
7,5,250,0.968
7,6,150,0.970833
7,7,150,0.964103
7,8,650,0.9625
7,9,350,0.972727
7,10,250,0.96
7,11,300,0.966667
7,12,150,0.969231
7,13,100,0.98
7,14,450,0.966667
7,15,350,0.971429
7,16,200,0.971429
7,17,150,0.975
7,18,350,1
7,19,150,1
7,20,600,1
8,2,100,1
8,3,50,0.985714
8,4,100,0.966667
8,5,150,0.976923
8,6,150,0.965217
8,7,200,0.973333
8,8,550,0.9625
8,9,250,0.96
8,10,250,0.97037
8,11,250,0.964286
8,12,400,0.970588
8,13,150,0.966667
8,14,200,0.9875
8,15,450,0.966667
8,16,550,0.966667
8,17,850,0.963636
8,18,200,0.975
8,19,1050,1
9,3,600,1
9,4,150,0.966667
9,5,500,0.963158
9,6,450,0.9625
9,7,350,0.9625
9,8,450,0.962963
9,9,450,0.966667
9,10,450,0.962963
9,11,350,0.961538
9,12,200,0.964706
9,13,650,0.96
9,14,900,0.9625
9,15,550,0.963636
9,16,200,0.97
9,17,350,0.966667
9,18,500,0.966667
9,19,250,0.96
9,20,150,0.96
10,2,50,1
10,3,50,1
10,4,450,0.971429
10,5,450,0.966667
10,6,200,0.966667
10,7,900,0.961538
10,8,1150,0.964706
10,9,1050,0.961905
10,10,650,0.963158
10,11,850,0.962069
10,12,1150,0.96
