RC_bin,RV_bin,ef,actual_recall
"(2.29336,3.25172]","(0.334409,0.410039]","1340","0.952333"
"(2.29336,3.25172]","(0.410039,0.435926]","1025","0.953333"
"(2.29336,3.25172]","(0.435926,0.454622]","946","0.95"
"(2.29336,3.25172]","(0.454622,0.470667]","788","0.954545"
"(2.29336,3.25172]","(0.470667,0.487386]","1025","0.95"
"(2.29336,3.25172]","(0.487386,0.501052]","631","0.955"
"(2.29336,3.25172]","(0.501052,0.517294]","946","0.9525"
"(2.29336,3.25172]","(0.517294,0.534766]","709","0.95"
"(2.29336,3.25172]","(0.534766,0.550466]","394","0.95"
"(2.29336,3.25172]","(0.550466,0.565932]","236","0.95"
"(2.29336,3.25172]","(0.565932,0.581181]","709","0.95"
"(2.29336,3.25172]","(0.581181,0.598669]","315","0.98"
"(2.29336,3.25172]","(0.598669,0.617979]","788","0.95"
"(3.25172,3.54914]","(0.334409,0.410039]","1025","0.952381"
"(3.25172,3.54914]","(0.410039,0.435926]","709","0.951765"
"(3.25172,3.54914]","(0.435926,0.454622]","631","0.96"
"(3.25172,3.54914]","(0.454622,0.470667]","315","0.951667"
"(3.25172,3.54914]","(0.470667,0.487386]","552","0.95125"
"(3.25172,3.54914]","(0.487386,0.501052]","473","0.958"
"(3.25172,3.54914]","(0.501052,0.517294]","315","0.950909"
"(3.25172,3.54914]","(0.517294,0.534766]","473","0.953333"
"(3.25172,3.54914]","(0.534766,0.550466]","473","0.95"
"(3.25172,3.54914]","(0.550466,0.565932]","394","0.9525"
"(3.25172,3.54914]","(0.565932,0.581181]","315","0.953333"
"(3.25172,3.54914]","(0.617979,0.634402]","236","0.98"
"(3.25172,3.54914]","(0.663608,0.683543]","236","0.95"
"(3.25172,3.54914]","(0.683543,0.714231]","157","0.96"
"(3.54914,3.8176]","(0.334409,0.410039]","709","0.951429"
"(3.54914,3.8176]","(0.410039,0.435926]","709","0.951818"
"(3.54914,3.8176]","(0.435926,0.454622]","473","0.953571"
"(3.54914,3.8176]","(0.454622,0.470667]","709","0.95625"
"(3.54914,3.8176]","(0.470667,0.487386]","394","0.965714"
"(3.54914,3.8176]","(0.487386,0.501052]","394","0.954"
"(3.54914,3.8176]","(0.501052,0.517294]","394","0.961667"
"(3.54914,3.8176]","(0.517294,0.534766]","394","0.965"
"(3.54914,3.8176]","(0.534766,0.550466]","315","0.963333"
