M_bin,m_bin,ef,actual_recall
1,1,50,0.995313
1,2,50,0.998182
1,3,50,0.997143
1,4,50,0.985714
1,5,50,0.966667
1,6,50,1
1,7,50,1
1,8,50,1
1,10,50,1
1,20,100,1
2,1,50,0.977922
2,2,50,0.982143
2,3,50,0.974194
2,4,50,0.982143
2,5,50,0.9625
2,6,50,0.969231
2,7,50,0.983333
2,8,100,1
2,9,50,0.966667
2,10,50,1
2,11,50,1
2,12,100,1
3,1,50,0.992308
3,2,50,0.974468
3,3,100,0.995349
3,4,50,0.9725
3,5,50,0.982857
3,6,50,0.976471
3,7,50,0.976923
3,8,100,1
3,9,50,0.975
3,10,50,0.985714
3,11,250,1
3,12,300,0.975
3,17,100,1
3,20,50,1
4,1,100,0.976923
4,2,100,0.987179
4,3,50,0.966667
4,4,50,0.961111
4,5,100,0.964
4,6,100,0.994118
4,7,50,0.96
4,8,150,0.9875
4,9,100,0.984615
4,10,150,0.98
4,11,50,0.971429
4,12,100,0.975
4,13,250,0.966667
4,16,1050,1
4,18,50,1
5,1,100,1
5,2,100,0.966667
5,3,100,0.962963
5,4,100,0.98
5,5,50,0.976
5,6,150,0.965217
5,7,150,0.972
5,8,250,0.98
5,9,100,0.975
5,10,200,0.977778
5,11,200,0.96
5,12,50,0.966667
5,13,100,0.96
5,14,150,0.96
5,15,200,1
5,16,250,1
5,17,50,0.966667
5,18,250,0.975
5,20,950,1
6,1,250,1
6,2,100,0.983333
6,3,200,0.980645
6,4,150,0.982353
6,5,100,0.9625
6,6,100,0.973333
6,7,200,0.966667
6,8,150,0.963158
6,9,200,0.96875
6,10,200,0.971429
6,11,250,0.970588
6,12,200,0.966667
6,13,200,0.97
6,14,150,0.98
6,15,300,0.9625
6,16,350,0.96
6,17,600,1
6,18,200,0.96
6,19,100,1
6,20,150,1
7,1,200,1
7,2,200,1
7,3,200,0.9625
7,4,250,0.963636
7,5,200,0.969231
7,6,150,0.962069
7,7,250,0.978947
7,8,500,0.963158
7,9,300,0.961905
7,10,200,0.970588
7,11,250,0.963636
7,12,250,0.96875
7,13,600,0.969231
7,14,300,0.964286
7,15,350,0.96
7,16,250,0.96
7,17,1250,0.966667
7,18,300,0.98
7,19,200,0.96
7,20,150,1
8,2,100,0.966667
8,3,350,0.96
8,4,250,0.966667
8,5,300,0.964286
8,6,400,0.963636
8,7,300,0.9625
8,8,400,0.961905
8,9,450,0.96
8,10,300,0.963158
8,11,200,0.96
8,12,300,0.96
8,13,500,0.96
8,14,200,0.963636
8,15,850,0.96
8,16,950,0.975
8,17,900,0.96
8,18,1600,1
8,19,250,0.975
8,20,1200,0.966667
9,2,350,1
9,3,700,0.971429
9,4,400,0.9625
9,5,300,0.96
9,6,800,0.961905
9,7,1150,0.963636
9,8,300,0.965385
9,9,500,0.973684
9,10,350,0.968421
9,11,500,0.97
9,12,450,0.96875
9,13,750,0.968182
9,14,850,0.964706
9,15,550,0.966667
9,16,400,0.96
9,17,600,0.975
9,18,550,0.983333
9,19,850,0.966667
9,20,650,0.966667
10,2,50,1
10,3,750,0.971429
10,4,650,0.96
10,5,650,0.966667
10,6,950,0.961111
10,7,700,0.966667
10,8,300,0.966667
10,9,1000,0.964706
10,10,400,0.96
10,11,650,0.968182
10,12,400,0.963158
10,13,500,0.972222
10,14,600,0.970588
10,15,1750,0.963636
10,16,950,0.963636
10,17,550,0.961538
10,18,400,0.966667
10,19,500,0.96
10,20,150,1
11,3,1800,0.966667
11,4,800,0.9625
11,5,400,0.96
11,6,400,0.9625
11,7,850,0.964286
11,8,450,0.961905
11,9,700,0.961538
11,10,650,0.96
11,11,500,0.961111
11,12,900,0.9625
11,13,550,0.96
11,14,1600,0.9625
11,15,450,0.964286
11,16,1600,0.961905
11,17,1600,0.963636
11,18,1200,0.961905
11,19,700,0.971429
11,20,1400,0.966667
12,2,200,1
12,4,1050,0.966667
12,5,500,0.96
12,6,500,0.96
12,7,450,0.964706
12,8,1150,0.963636
12,9,350,0.964706
12,10,1350,0.966667
12,11,800,0.962963
12,12,1500,0.966667
12,13,1650,0.96
12,14,1400,0.96
12,15,1150,0.964706
12,16,850,0.963636
12,17,950,0.961538
12,18,500,0.97
12,19,2100,0.9625
12,20,850,0.9625
13,4,2850,0.975
13,5,1600,0.966667
13,6,1500,0.963636
13,7,750,0.9625
13,8,600,0.96
13,9,1150,0.961905
13,10,1850,0.963158
13,11,1350,0.96
13,12,2800,0.968182
13,13,2350,0.96
13,14,2250,0.963158
13,15,1050,0.966667
13,16,1600,0.963158
13,17,300,0.966667
13,18,1650,0.966667
13,19,950,0.961538
13,20,1900,0.961538
14,3,50,1
14,4,50,1
14,5,100,0.966667
14,6,350,0.975
14,7,1000,0.971429
14,8,1500,0.963158
14,9,1000,0.964706
14,10,900,0.966667
14,11,2450,0.9625
14,12,1350,0.963158
14,13,850,0.966667
14,14,1750,0.9625
14,15,1650,0.96
14,16,850,0.961538
14,17,1050,0.96087
14,18,450,0.961905
14,19,700,0.961111
14,20,3550,0.963636
15,4,5000,1
15,5,350,1
15,6,2300,0.966667
15,7,600,0.96
15,8,1850,0.96
15,9,1900,0.969231
15,10,850,0.961111
15,11,2350,0.963636
15,12,1950,0.964706
15,13,3500,0.964706
15,14,1950,0.963158
15,15,1350,0.96087
15,16,950,0.9625
15,17,1650,0.963636
15,18,2050,0.9625
15,19,2200,0.960714
15,20,1350,0.966667
16,3,50,1
16,4,1000,0.966667
16,5,2700,0.96
16,6,650,0.966667
16,7,950,0.96
16,8,1950,0.96
16,9,1200,0.9625
16,10,1800,0.963636
16,11,2000,0.963636
16,12,1800,0.966667
16,13,2450,0.96
16,14,2150,0.961538
16,15,1200,0.961905
16,16,1700,0.9625
16,17,1750,0.967857
16,18,3950,0.962963
16,19,3350,0.964706
16,20,1700,0.963636
17,4,400,1
17,5,5000,0.933333
17,7,1900,0.971429
17,8,650,0.966667
17,9,600,0.971429
17,10,1250,0.963158
17,11,900,0.961538
17,12,2250,0.964706
17,13,1950,0.971429
17,14,2250,0.96
17,15,2300,0.964706
17,16,2900,0.9625
17,17,1700,0.963636
17,18,850,0.963636
17,19,2100,0.962963
17,20,2850,0.961111
18,4,50,1
18,5,250,1
18,6,2600,0.975
18,7,2400,0.966667
18,8,900,0.96
18,9,2300,0.966667
18,10,1250,0.9625
18,11,3400,0.963636
18,12,2250,0.96875
18,13,2200,0.96
18,14,2150,0.963636
18,15,3100,0.96087
18,16,3150,0.96
18,17,2700,0.96
18,18,2450,0.962963
18,19,2050,0.96
18,20,1450,0.964286
19,5,300,1
19,6,4900,0.96
19,7,850,0.966667
19,8,2350,0.975
19,9,2850,0.966667
19,10,2700,0.971429
19,11,1800,0.964706
19,12,1250,0.9625
19,13,750,0.969231
19,14,1400,0.9625
19,15,2350,0.96
19,16,2200,0.960714
19,17,2200,0.96
19,18,2000,0.964706
19,19,3150,0.96129
19,20,2000,0.962857
20,7,550,0.966667
20,8,1250,1
20,9,750,0.96
20,10,1800,0.966667
20,11,3600,0.966667
20,12,5000,0.933333
20,13,2300,0.971429
20,14,1000,0.966667
20,15,2350,0.961905
20,16,1000,0.96
20,17,1600,0.966667
20,18,2750,0.961765
20,19,1350,0.96
20,20,1700,0.9625
