RC_bin,RV_bin,ef,actual_recall
"(1.03636,2.05866]","(0.399463,0.482554]","394","0.964595"
"(1.03636,2.05866]","(0.482554,0.507006]","315","0.954706"
"(1.03636,2.05866]","(0.507006,0.526885]","315","0.959375"
"(1.03636,2.05866]","(0.526885,0.54134]","315","0.966923"
"(1.03636,2.05866]","(0.54134,0.555202]","236","0.963333"
"(1.03636,2.05866]","(0.555202,0.568005]","157","0.95"
"(1.03636,2.05866]","(0.568005,0.582622]","315","0.965"
"(1.03636,2.05866]","(0.582622,0.594014]","236","0.97"
"(1.03636,2.05866]","(0.594014,0.606512]","157","0.96"
"(1.03636,2.05866]","(0.606512,0.622614]","157","0.95"
"(1.03636,2.05866]","(0.622614,0.634976]","157","0.95"
"(1.03636,2.05866]","(0.634976,0.650626]","709","0.95"
"(1.03636,2.05866]","(0.650626,0.667093]","78","0.97"
"(1.03636,2.05866]","(0.667093,0.684716]","78","0.97"
"(2.05866,2.30575]","(0.399463,0.482554]","315","0.95875"
"(2.05866,2.30575]","(0.482554,0.507006]","236","0.953158"
"(2.05866,2.30575]","(0.507006,0.526885]","236","0.955"
"(2.05866,2.30575]","(0.526885,0.54134]","236","0.963333"
"(2.05866,2.30575]","(0.54134,0.555202]","236","0.973"
"(2.05866,2.30575]","(0.555202,0.568005]","236","0.966667"
"(2.05866,2.30575]","(0.568005,0.582622]","157","0.956"
"(2.05866,2.30575]","(0.582622,0.594014]","236","0.97"
"(2.05866,2.30575]","(0.594014,0.606512]","157","0.96"
"(2.05866,2.30575]","(0.606512,0.622614]","157","0.956"
"(2.05866,2.30575]","(0.622614,0.634976]","157","0.963333"
"(2.05866,2.30575]","(0.650626,0.667093]","157","0.97"
"(2.05866,2.30575]","(0.667093,0.684716]","78","0.96"
"(2.05866,2.30575]","(0.778149,0.8115]","78","0.97"
"(2.30575,2.53364]","(0.399463,0.482554]","315","0.971429"
"(2.30575,2.53364]","(0.482554,0.507006]","236","0.9525"
"(2.30575,2.53364]","(0.507006,0.526885]","236","0.971"
"(2.30575,2.53364]","(0.526885,0.54134]","236","0.973333"
"(2.30575,2.53364]","(0.54134,0.555202]","236","0.971667"
"(2.30575,2.53364]","(0.555202,0.568005]","236","0.97125"
"(2.30575,2.53364]","(0.568005,0.582622]","236","0.976667"
"(2.30575,2.53364]","(0.582622,0.594014]","157","0.9525"
"(2.30575,2.53364]","(0.594014,0.606512]","157","0.964"
"(2.30575,2.53364]","(0.606512,0.622614]","78","0.96"
"(2.30575,2.53364]","(0.622614,0.634976]","157","0.954"
"(2.30575,2.53364]","(0.634976,0.650626]","157","0.99"
"(2.30575,2.53364]","(0.650626,0.667093]","78","0.97"
"(2.30575,2.53364]","(0.667093,0.684716]","157","0.97"
"(2.30575,2.53364]","(0.745794,0.778149]","157","0.95"
"(2.53364,2.71283]","(0.399463,0.482554]","236","0.956667"
"(2.53364,2.71283]","(0.482554,0.507006]","236","0.964"
"(2.53364,2.71283]","(0.507006,0.526885]","236","0.96"
"(2.53364,2.71283]","(0.526885,0.54134]","236","0.965"
"(2.53364,2.71283]","(0.54134,0.555202]","236","0.974444"
"(2.53364,2.71283]","(0.555202,0.568005]","236","0.96875"
"(2.53364,2.71283]","(0.568005,0.582622]","157","0.98"
"(2.53364,2.71283]","(0.582622,0.594014]","157","0.961429"
"(2.53364,2.71283]","(0.594014,0.606512]","157","0.9575"
"(2.53364,2.71283]","(0.606512,0.622614]","236","0.98"
"(2.53364,2.71283]","(0.622614,0.634976]","157","0.966"
"(2.53364,2.71283]","(0.634976,0.650626]","157","0.9725"
"(2.53364,2.71283]","(0.650626,0.667093]","157","0.956667"
"(2.53364,2.71283]","(0.667093,0.684716]","157","0.9825"
"(2.53364,2.71283]","(0.684716,0.701636]","157","0.983333"
"(2.53364,2.71283]","(0.723095,0.745794]","78","0.99"
"(2.53364,2.71283]","(0.778149,0.8115]","157","0.99"
"(2.71283,2.88109]","(0.399463,0.482554]","236","0.965"
"(2.71283,2.88109]","(0.482554,0.507006]","236","0.955"
"(2.71283,2.88109]","(0.507006,0.526885]","236","0.965"
