query_id,M_Graph,M_RC,m_Spear,m_Sphere,true_ef
763,3.1953,0.278682,3.3187,7.97643,10
5180,2.98973,0.738685,10.7207,20.6306,20
4562,3.34022,0.94712,17.3132,14.0749,75
4598,3.29025,0.474741,10.1894,12.6928,30
4302,2.87249,0.648401,15.4385,14.0121,30
623,3.4558,0.404494,6.55252,17.7736,20
9483,2.76828,0.782548,9.28101,12.6403,75
4655,3.11502,0.708739,11.6616,18.6886,100
2581,2.78207,0.831517,10.4967,10.9587,20
2195,2.76251,0.68202,14.9614,12.385,30
9629,2.80235,0.824941,15.3661,12.0912,50
7434,2.87144,0.549127,8.37675,8.04785,10
2675,2.87195,0.908874,22.9801,20.6097,30
4812,2.84542,0.702285,10.8867,14.4386,20
9523,3.00249,0.560401,13.2444,7.71658,30
1552,2.70319,0.605746,11.5561,18.868,150
8003,2.80486,0.828217,16.0311,12.2334,150
6231,3.33791,0.709392,14.1268,24.8327,150
4712,3.12371,0.783369,16.8593,23.3264,750
6786,2.73566,0.672516,12.6213,20.2566,40
8936,3.1041,0.773791,18.0346,26.1525,20
497,2.76712,0.802451,15.865,18.9487,40
8628,3.36378,0.629969,10.8635,18.7007,10
1237,2.85221,0.551247,10.8975,16.301,10
1677,3.18924,0.841458,16.2428,18.8078,100
8820,3.16647,0.675513,12.2385,9.94355,75
9892,2.80645,0.63387,10.9016,18.9455,10
6979,2.99587,1.01942,24.907,26.7793,200
6748,2.91916,0.733565,10.577,15.0951,20
1997,2.94459,0.850124,22.9357,16.9086,300
7282,2.73849,0.383746,6.70759,5.43708,10
3235,2.89118,0.545157,15.1392,13.462,10
1456,3.10089,0.591902,14.6037,11.5078,40
9468,3.43052,0.610345,8.31596,11.9639,10
7083,2.95609,0.664516,7.70852,13.1553,20
1627,3.19488,0.680328,12.7089,13.7729,10
599,2.70179,0.443168,8.80568,7.50035,10
9232,3.24117,0.584463,17.3186,14.6822,75
3227,2.98435,0.534475,7.07794,22.0845,20
6954,3.30257,0.997312,18.2553,26.4193,1000
8018,3.45773,0.942104,15.7748,19.6304,75
6611,2.97878,0.817889,18.5548,9.95731,20
7028,3.25898,0.934044,20.3119,13.4694,50
5840,2.90664,0.920697,23.3834,15.7823,500
3945,2.98467,0.908781,20.1504,25.2041,500
3700,3.3386,0.791435,10.8665,14.7178,300
6262,2.88075,0.522159,5.94969,7.10558,10
6466,2.92827,0.151256,6.09297,5.82869,10
7604,2.86049,0.426523,8.92933,9.14668,20
2544,3.01452,0.830286,13.7653,13.7232,150
1383,3.27645,0.693472,12.4912,19.619,40
5333,2.85948,0.897756,19.2688,11.8298,75
9008,2.80273,1.0789,31.1325,23.6986,1500
9877,2.77405,0.711863,12.5022,18.8318,20
2001,3.13294,0.871309,19.0887,15.759,150
687,2.87726,0.348063,9.37923,12.396,75
5190,2.9451,0.748596,20.8857,20.3979,200
1730,2.84518,1.11221,16.3996,18.8357,5000
2457,3.01192,1.12092,21.8406,19.2263,2000
9343,2.79141,0.919776,24.5442,32.5858,150
8123,2.76697,1.11343,23.4929,18.8794,1500
7473,3.03751,1.15616,32.4904,18.8778,1500
3442,2.82634,0.612369,19.3776,13.4286,50
7307,3.42663,0.582867,14.5632,20.3366,100
7717,2.81672,1.10037,23.0851,23.2549,1500
8144,2.90305,0.890379,18.308,18.3523,1500
2930,3.04477,1.05508,26.1247,14.8739,1500
8325,3.09852,0.802875,11.5163,9.74706,30
7559,2.85784,1.12607,27.8083,17.5127,5000
7358,3.39914,0.794151,17.9911,12.9601,40
3837,2.88605,0.64368,13.8933,15.4497,40
3229,2.94278,1.12115,27.3842,22.012,750
4850,2.85198,0.466986,8.1717,7.45174,10
7701,3.0375,0.549235,8.64167,6.87528,20
8279,2.83248,0.448792,10.0389,7.04218,10
4509,3.09186,0.753748,10.8547,16.4236,75
2986,3.06488,0.559133,7.71825,7.94049,10
2758,2.94491,0.784803,23.301,10.665,750
7421,3.18456,1.029,19.7605,16.596,3000
8102,2.8097,0.864281,15.2042,17.3068,200
324,2.81247,0.813509,13.0608,26.4727,40
2249,2.95206,1.07352,20.6844,24.1651,5000
5415,2.80546,0.981208,16.2845,16.9517,10
7680,3.31159,0.783156,15.3874,10.7332,300
5947,2.83952,0.938439,18.6973,19.744,750
275,3.03864,0.878515,15.7179,16.0077,100
436,2.83496,0.822639,13.806,13.7838,150
6870,2.91449,1.08854,19.1811,24.6796,5000
8559,3.09085,0.306553,9.79654,24.8652,10
7328,3.33567,0.717244,23.9697,14.6034,500
3869,2.84646,1.1375,24.0056,21.7729,1500
1280,3.11568,0.819726,23.1854,17.5771,300
7044,3.27374,0.852847,22.3595,13.892,40
7289,3.29559,0.327686,7.96162,18.4998,20
4529,3.09194,0.495121,8.53017,10.708,10
3464,3.06034,0.959207,18.903,16.2592,2000
6031,3.23444,0.808906,13.0679,23.3426,500
6539,2.85363,0.660581,10.2429,14.7232,300
5305,3.05616,0.869613,17.6959,14.6388,100
