query_idx,ef_true,RV_unw,RV_rank_5,RV_rank_10
1730,2000,0.087672,0.240872,0.342885
3464,1600,0.102068,0.264468,0.375569
662,800,0.124788,0.306905,0.417558
6236,1300,0.060061,0.176991,0.267039
9488,350,0.134965,0.325153,0.435124
2113,50,0.310858,0.605959,0.711757
457,100,0.186434,0.402082,0.516349
2411,50,0.179257,0.425278,0.5586
3127,50,0.399844,0.673133,0.756133
758,200,0.122387,0.325001,0.449871
3863,50,0.314445,0.637679,0.75299
7848,1300,0.119322,0.305927,0.423873
1537,1800,0.0668005,0.191407,0.282713
8819,50,0.31102,0.632068,0.756935
3537,2000,0.0885943,0.240606,0.34681
2606,50,0.22188,0.487564,0.605675
7810,2000,0.109556,0.259092,0.344708
8934,50,0.36682,0.695451,0.804523
5896,100,0.178713,0.381588,0.482705
6485,150,0.181414,0.437787,0.577163
2463,150,0.199181,0.42712,0.52827
9611,50,0.40553,0.716638,0.804431
8876,400,0.12624,0.319044,0.43378
4629,850,0.0846542,0.236555,0.342388
5430,50,0.303608,0.612231,0.729468
1327,400,0.116803,0.276858,0.373455
3742,50,0.360738,0.649365,0.754798
409,2000,0.0849024,0.234591,0.333606
3272,50,0.465517,0.769741,0.845364
1207,2000,0.0703964,0.214758,0.322942
9981,50,0.238994,0.524546,0.665882
8017,100,0.268029,0.523076,0.633995
6689,150,0.2343,0.505758,0.625922
26,100,0.240107,0.484566,0.590547
9529,2000,0.112303,0.289292,0.399827
4768,50,0.408351,0.721506,0.806775
7856,600,0.115357,0.279642,0.383573
3287,2000,0.105074,0.253916,0.344314
2192,100,0.244299,0.515459,0.635916
7713,100,0.21997,0.460844,0.577142
7057,250,0.198846,0.445437,0.561877
3714,100,0.22515,0.450053,0.546824
9552,100,0.138702,0.340029,0.456956
1544,50,0.213943,0.465463,0.597072
3294,100,0.241254,0.508114,0.618858
1193,300,0.220218,0.488861,0.623752
4826,100,0.274936,0.512488,0.610293
2631,2000,0.143002,0.329412,0.431644
2111,50,0.352381,0.656195,0.761219
8093,1650,0.144103,0.366134,0.491043
4581,350,0.195014,0.423806,0.543636
5049,50,0.1992,0.445791,0.566068
5446,550,0.193303,0.407395,0.519654
8484,50,0.254574,0.537791,0.650853
3885,50,0.259573,0.511183,0.618862
5098,50,0.242634,0.56309,0.702219
8008,2000,0.184522,0.396815,0.496144
4623,50,0.281428,0.577242,0.705899
3733,1300,0.0948387,0.248698,0.349003
7324,300,0.11311,0.292085,0.403101
6711,900,0.140891,0.344138,0.464447
2966,2000,0.173913,0.384499,0.484457
5217,100,0.218687,0.47291,0.576386
3812,50,0.182927,0.407031,0.532271
2822,200,0.173575,0.396564,0.510021
8276,150,0.187015,0.440033,0.562798
2987,50,0.370764,0.699395,0.809612
3868,2000,0.079024,0.207088,0.302742
1926,900,0.0799791,0.223484,0.325333
1351,50,0.340434,0.64993,0.768416
2107,150,0.137338,0.31471,0.417423
3453,1200,0.13276,0.305608,0.40932
3674,50,0.223492,0.491559,0.619585
7538,450,0.112975,0.30373,0.429072
4350,200,0.169528,0.381624,0.493852
8998,1950,0.0906032,0.227899,0.315489
5097,50,0.181754,0.445603,0.580996
2718,50,0.267404,0.565219,0.696511
4543,100,0.508588,0.747807,0.802973
8877,50,0.36383,0.68998,0.795865
2836,50,0.424658,0.686299,0.751326
8791,100,0.237367,0.507454,0.627461
2782,50,0.319972,0.602241,0.710071
1279,50,0.201075,0.447867,0.567872
6442,50,0.225363,0.49742,0.621438
1447,900,0.100167,0.263704,0.367985
2872,2000,0.129422,0.298366,0.387105
6269,100,0.214232,0.465928,0.596848
7302,50,0.421298,0.713058,0.790636
9793,300,0.240613,0.455509,0.545766
5191,50,0.351838,0.655373,0.757853
4608,2000,0.091632,0.249775,0.358982
1999,650,0.128136,0.312648,0.422984
1023,2000,0.0744425,0.200178,0.293513
9225,950,0.220339,0.438816,0.538058
2391,700,0.15335,0.352166,0.454948
1874,200,0.171649,0.384087,0.492475
9114,50,0.373476,0.687158,0.779017
8238,50,0.202614,0.456836,0.578469
4265,100,0.155517,0.386787,0.509189
9495,300,0.110613,0.287392,0.398184
3682,50,0.349384,0.661413,0.767093
6974,100,0.345164,0.667008,0.765513
6453,200,0.119448,0.300503,0.403982
8476,900,0.0756739,0.218133,0.319512
2309,50,0.388799,0.708817,0.80418
8263,50,0.230954,0.478542,0.60743
6020,50,0.334701,0.644057,0.765855
1216,100,0.2287,0.479701,0.591776
1012,50,0.167506,0.404186,0.524791
5012,1650,0.167314,0.35249,0.437593
1339,50,0.345455,0.652092,0.747364
7181,150,0.147484,0.358293,0.470756
4233,300,0.0876578,0.229195,0.323448
8649,150,0.168207,0.40995,0.547239
2926,150,0.143857,0.33278,0.440762
5022,2000,0.0845588,0.248934,0.380514
5286,100,0.229993,0.486136,0.59993
9916,100,0.150699,0.344504,0.446706
6785,50,0.373178,0.659425,0.754508
3300,50,0.280396,0.538239,0.644424
555,50,0.28797,0.604072,0.721951
3444,1450,0.0790785,0.219072,0.321354
315,250,0.359301,0.661296,0.750111
563,200,0.191083,0.426063,0.539901
9629,50,0.197386,0.406586,0.51169
9523,50,0.322409,0.637166,0.745986
6979,200,0.101436,0.246592,0.342572
9468,50,0.168444,0.420283,0.561839
2544,250,0.113347,0.287334,0.39585
5333,100,0.226804,0.480973,0.591438
9877,50,0.174394,0.417132,0.549413
687,100,0.316195,0.59874,0.704509
7068,2000,0.0929657,0.238914,0.3367
2754,800,0.115746,0.289387,0.390083
8126,50,0.139356,0.364994,0.505521
8440,150,0.294547,0.552894,0.636161
4217,1050,0.110827,0.284843,0.391361
1925,50,0.277412,0.574945,0.699242
6106,100,0.193395,0.459748,0.590037
9166,50,0.245166,0.536637,0.663156
4397,50,0.441684,0.73631,0.820671
6060,2000,0.0988391,0.258769,0.357318
8971,50,0.463103,0.729082,0.800045
2060,1900,0.0729927,0.212417,0.313899
2565,50,0.57725,0.831543,0.884761
4522,150,0.237256,0.471512,0.56743
1573,50,0.253884,0.536177,0.668152
9555,100,0.213656,0.447129,0.55224
4524,50,0.159985,0.385113,0.515141
6186,600,0.0816764,0.235519,0.340127
1509,1600,0.122687,0.30112,0.411666
8049,200,0.149384,0.341363,0.448863
6896,100,0.342901,0.661412,0.76612
1771,2000,0.108228,0.273147,0.370201
5379,50,0.30352,0.590691,0.699034
3401,100,0.352705,0.659763,0.750044
1347,1050,0.171675,0.366358,0.46497
3745,50,0.311581,0.606428,0.706488
2556,50,0.237937,0.524579,0.660496
3254,50,0.193455,0.459713,0.59921
5042,200,0.189738,0.404331,0.512895
4724,150,0.197927,0.441141,0.55962
