query_idx,ef_true,RV_unw,RV_rank_5,RV_rank_10
1730,250,0.172077,0.388237,0.513996
3464,150,0.183707,0.392262,0.504236
662,50,0.493717,0.740315,0.812995
6236,50,0.25891,0.529975,0.649491
9488,150,0.168495,0.376832,0.487879
2113,50,0.353579,0.638435,0.741389
457,50,0.299959,0.594297,0.70913
2411,50,0.15,0.360389,0.482786
3127,100,0.29344,0.555006,0.67143
758,50,0.428819,0.723938,0.814837
3863,50,0.214547,0.474883,0.602002
7848,50,0.362529,0.664309,0.77551
1537,100,0.172089,0.388752,0.51412
8819,50,0.260382,0.535852,0.655708
3537,50,0.275803,0.541984,0.655993
2606,50,0.228875,0.483817,0.601453
7810,250,0.188078,0.404964,0.520166
8934,50,0.480544,0.735183,0.805116
5896,50,0.40632,0.697271,0.789019
6485,50,0.300161,0.59022,0.701132
2463,200,0.167553,0.368379,0.473053
9611,50,0.261135,0.54527,0.679626
8876,100,0.238242,0.514713,0.645279
4629,50,0.265686,0.531594,0.648538
5430,50,0.226846,0.49605,0.629403
1327,300,0.228169,0.472402,0.585041
3742,50,0.300509,0.574684,0.678963
409,350,0.260336,0.531475,0.646094
3272,100,0.232865,0.477962,0.587204
1207,150,0.136697,0.342743,0.465691
9981,200,0.230676,0.481431,0.600162
8017,50,0.47098,0.755033,0.833867
6689,50,0.537399,0.783632,0.854929
26,100,0.223726,0.485363,0.61224
9529,50,0.374033,0.670244,0.773745
4768,50,0.262922,0.51506,0.625077
7856,50,0.521784,0.765046,0.833816
3287,50,0.373763,0.677291,0.780021
2192,50,0.364791,0.666223,0.775708
7713,200,0.157218,0.363031,0.479994
7057,100,0.20459,0.433246,0.537161
3714,50,0.249898,0.521134,0.645148
9552,50,0.279186,0.540924,0.648045
1544,150,0.205882,0.444249,0.55478
3294,50,0.315185,0.639299,0.773322
1193,50,0.298617,0.580506,0.69738
4826,50,0.291649,0.576119,0.692106
2631,100,0.250513,0.490691,0.60034
2111,100,0.2836,0.560224,0.67799
8093,100,0.263933,0.504898,0.604006
4581,50,0.354414,0.643448,0.749518
5049,50,0.312088,0.596444,0.702189
5446,50,0.342809,0.631284,0.737227
8484,100,0.252046,0.496301,0.604395
3885,50,0.335363,0.634943,0.738885
5098,50,0.343641,0.64667,0.752937
8008,50,0.273181,0.542831,0.660139
4623,50,0.34627,0.637185,0.744303
3733,50,0.241393,0.519337,0.655072
7324,50,0.224621,0.475858,0.593908
6711,50,0.660727,0.840862,0.880952
2966,50,0.191991,0.432358,0.556212
5217,50,0.331377,0.619878,0.735555
3812,200,0.264108,0.517446,0.627158
2822,50,0.262807,0.57147,0.705677
8276,50,0.318033,0.603287,0.711894
2987,50,0.371099,0.665881,0.779925
3868,100,0.243672,0.499681,0.613616
1926,50,0.302619,0.581999,0.695414
1351,50,0.254728,0.518719,0.627405
2107,100,0.249795,0.515126,0.634055
3453,50,0.246493,0.512464,0.635449
3674,50,0.452347,0.749233,0.834918
7538,50,0.654958,0.843815,0.886243
4350,50,0.275523,0.562942,0.681178
8998,50,0.341841,0.605849,0.700333
5097,50,0.308307,0.589381,0.700094
2718,50,0.224225,0.478084,0.609111
4543,100,0.243167,0.502488,0.612821
8877,50,0.247623,0.501211,0.619452
2836,50,0.276496,0.559569,0.683267
8791,100,0.197632,0.452625,0.587698
