query_idx,ef_true,RV_unw,m_LID
1730,50,0.314744,7.22803
3464,50,0.309988,11.5413
662,50,0.48292,9.15872
6236,200,0.335457,10.7912
9488,50,0.403351,7.65107
2113,150,0.198888,16.2578
457,50,0.301426,16.196
2411,50,0.365891,9.0137
3127,200,0.161378,18.1889
758,50,0.181541,10.228
3863,50,0.456531,10.9079
7848,150,0.114504,17.3606
1537,50,0.183766,10.8455
8819,100,0.34347,11.7307
3537,100,0.273734,13.2707
2606,1050,0.176286,13.717
7810,50,0.293607,14.3109
8934,50,0.297821,16.1381
5896,150,0.205568,11.2469
6485,250,0.169637,19.5885
2463,50,0.181854,13.9064
9611,100,0.155066,12.2399
8876,50,0.489152,10.4689
4629,50,0.390781,5.29223
5430,150,0.17804,13.4179
1327,50,0.18061,14.7764
3742,150,0.225399,10.6821
409,200,0.202736,11.3726
3272,50,0.302083,10.8659
1207,50,0.284719,15.8578
9981,50,0.166223,16.0687
8017,900,0.123442,19.177
6689,50,0.420151,9.88777
26,50,0.27807,7.7983
9529,100,0.161493,12.8895
4768,50,0.232129,12.4484
7856,50,0.280306,12.1406
3287,50,0.286072,9.34229
2192,50,0.327601,3.48319
7713,50,0.216427,12.8342
7057,50,0.194656,12.9657
3714,150,0.134494,13.1361
9552,150,0.183183,16.3598
1544,50,0.280848,11.0166
3294,50,0.43547,9.52453
1193,50,0.178244,12.3559
4826,400,0.134074,21.5586
2631,50,0.205893,14.1283
2111,50,0.393046,7.3907
8093,150,0.145811,12.9707
4581,50,0.249894,8.51231
5049,50,0.274725,10.8225
5446,150,0.164127,12.674
8484,50,0.14291,20.5534
3885,50,0.378028,10.4784
5098,50,0.291171,9.38495
8008,50,0.162913,11.4884
4623,50,0.321772,11.3288
3733,50,0.177966,14.7777
7324,100,0.236521,13.3735
6711,200,0.140141,16.5882
2966,50,0.326869,10.8846
5217,100,0.236863,11.2453
3812,50,0.127322,11.1061
2822,100,0.190029,13.1326
8276,50,0.17061,10.7902
2987,100,0.226722,18.6149
3868,50,0.392947,12.6025
1926,350,0.108129,13.4361
1351,50,0.290541,14.9485
2107,50,0.23418,10.7399
3453,50,0.397047,12.9842
3674,250,0.195061,11.0067
7538,300,0.0853971,18.2756
4350,250,0.170311,19.0056
8998,100,0.305112,14.5779
5097,150,0.180328,17.0949
2718,50,0.23534,13.8892
4543,50,0.168377,12.5316
8877,50,0.206975,15.8231
2836,50,0.28747,10.717
8791,50,0.240223,7.44358
2782,300,0.14003,19.3468
1279,300,0.214558,19.4131
6442,400,0.10011,16.6404
1447,50,0.177973,11.8134
2872,50,0.171429,13.1095
6269,50,0.189112,17.2139
7302,350,0.75841,1.04166
9793,50,0.454793,8.17226
5191,200,0.171959,15.4483
4608,50,0.429848,6.67618
1999,50,0.186695,9.82872
1023,50,0.290283,10.8586
9225,250,0.121268,12.1646
2391,100,0.165764,12.5119
1874,100,0.198598,15.1905
9114,350,0.129282,18.9674
8238,50,0.205792,12.5207
4265,50,0.30371,10.7
9495,150,0.154304,18.2699
3682,150,0.118125,18.604
6974,100,0.225977,12.738
6453,150,0.198755,12.7852
8476,50,0.236592,13.2753
2309,150,0.200405,9.32745
8263,50,0.376254,9.27824
6020,50,0.499261,8.03542
1216,50,0.383732,12.727
1012,50,0.418354,8.97844
5012,50,0.416303,8.29419
1339,150,0.266925,13.9635
7181,50,0.333475,9.40333
4233,50,0.207522,15.9304
8649,100,0.355164,10.3463
2926,100,0.145362,15.8946
5022,350,0.107278,16.3808
5286,100,0.228378,16.2568
9916,150,0.145635,17.1873
6785,50,0.280125,7.6938
3300,50,0.245474,10.4346
555,50,0.475207,8.48595
3444,50,0.171021,4.06234
315,200,0.199582,20.6291
563,100,0.23675,11.0959
9629,100,0.167832,15.436
9523,50,0.190168,12.9749
6979,650,0.0841122,26.6781
9468,200,0.162345,19.1107
2544,150,0.163389,18.0832
5333,50,0.26871,8.71103
9877,50,0.450549,5.89634
687,400,0.164883,12.9552
7068,450,0.160906,16.6674
2754,50,0.372652,8.19132
8126,250,0.155272,18.248
8440,150,0.380535,8.52745
4217,100,0.2,11.6353
1925,50,0.318082,5.58286
6106,50,0.649743,6.54792
9166,250,0.142956,25.4466
4397,200,0.147309,24.1139
6060,100,0.295494,11.5334
8971,200,0.244789,13.4834
2060,100,0.146986,12.3313
2565,50,0.391997,6.81083
4522,100,0.166198,16.3997
1573,50,0.332783,14.2618
9555,800,0.142311,16.0295
4524,100,0.167519,15.1336
6186,50,0.189293,13.8675
1509,50,0.551149,12.1754
8049,200,0.116406,12.5107
6896,50,0.232239,10.6024
1771,300,0.138622,19.7331
5379,50,0.210692,9.70557
3401,50,0.385372,14.8217
1347,650,0.116571,14.361
3745,150,0.122099,14.1656
2556,300,0.144448,13.2767
3254,50,0.182867,12.9088
5042,50,0.451698,12.6088
4724,150,0.185541,14.7092
9449,50,0.377311,9.00593
9115,150,0.178082,14.9087
938,50,0.213247,9.87876
8623,100,0.209642,18.8775
5933,50,0.278623,14.5513
2137,50,0.343154,12.533
273,50,0.261131,9.483
7782,100,0.19301,11.8849
503,50,0.397873,9.25564
872,50,0.444995,13.0425
9059,100,0.281035,10.5407
4510,400,0.17093,13.6301
1585,50,0.395541,9.28835
6542,100,0.253403,21.44
3549,400,0.197647,13.3469
