query_idx,ef_true,RV_unw,m_LID
1730,250,0.172077,14.4353
3464,150,0.183707,13.1224
662,50,0.493717,6.43124
6236,50,0.25891,12.7963
9488,150,0.168495,23.6416
2113,50,0.353579,9.94795
457,50,0.299959,7.60188
2411,50,0.15,17.9479
3127,100,0.29344,11.6749
758,50,0.428819,5.76163
3863,50,0.214547,8.13517
7848,50,0.362529,10.7774
1537,100,0.172089,11.2977
8819,50,0.260382,6.24989
3537,50,0.275803,5.43494
2606,50,0.228875,12.2093
7810,250,0.188078,13.1874
8934,50,0.480544,8.42817
5896,50,0.40632,6.74518
6485,50,0.300161,9.48485
2463,200,0.167553,28.1737
9611,50,0.261135,4.59818
8876,100,0.238242,11.8377
4629,50,0.265686,14.2984
5430,50,0.226846,12.9869
1327,300,0.228169,16.8294
3742,50,0.300509,13.8895
409,350,0.260336,11.6802
3272,100,0.232865,16.3469
1207,150,0.136697,16.9334
9981,200,0.230676,12.2832
8017,50,0.47098,6.48795
6689,50,0.537399,4.43333
26,100,0.223726,11.2065
9529,50,0.374033,5.15862
4768,50,0.262922,10.5538
7856,50,0.521784,6.01182
3287,50,0.373763,7.75287
2192,50,0.364791,6.48661
7713,200,0.157218,18.3398
7057,100,0.20459,16.2979
3714,50,0.249898,9.63668
9552,50,0.279186,18.627
1544,150,0.205882,16.002
3294,50,0.315185,5.40858
1193,50,0.298617,7.50575
4826,50,0.291649,10.8185
2631,100,0.250513,13.7837
2111,100,0.2836,12.014
8093,100,0.263933,9.94736
4581,50,0.354414,9.42914
5049,50,0.312088,14.9299
5446,50,0.342809,11.024
8484,100,0.252046,17.9325
3885,50,0.335363,10.4712
5098,50,0.343641,8.2298
8008,50,0.273181,15.034
4623,50,0.34627,10.3713
3733,50,0.241393,8.40477
7324,50,0.224621,21.1972
6711,50,0.660727,3.42946
2966,50,0.191991,6.80664
5217,50,0.331377,9.90574
3812,200,0.264108,10.5169
2822,50,0.262807,2.54667
8276,50,0.318033,9.14571
2987,50,0.371099,3.25186
3868,100,0.243672,14.7832
1926,50,0.302619,10.8996
1351,50,0.254728,12.2453
2107,100,0.249795,10.7568
3453,50,0.246493,6.61452
3674,50,0.452347,5.46949
7538,50,0.654958,3.27972
4350,50,0.275523,11.4916
8998,50,0.341841,12.6491
5097,50,0.308307,9.8112
2718,50,0.224225,9.47492
4543,100,0.243167,10.9243
8877,50,0.247623,12.4188
2836,50,0.276496,7.00252
8791,100,0.197632,8.03134
2782,150,0.210288,19.5089
1279,100,0.266455,14.7684
6442,50,0.34554,10.6354
1447,50,0.410909,10.704
2872,50,0.289474,4.12832
6269,50,0.227152,12.7017
7302,50,0.270535,11.1326
9793,50,0.367502,7.6256
5191,50,0.35843,15.2745
4608,100,0.210851,17.3986
1999,50,0.259434,12.0489
1023,100,0.260626,11.9854
9225,100,0.22439,17.7814
2391,50,0.224392,9.35997
1874,50,0.453922,11.2335
9114,50,0.321774,10.6719
8238,50,0.444549,12.5819
4265,50,0.251105,14.1496
9495,50,0.232278,11.5687
3682,50,0.388321,9.44241
6974,100,0.196309,11.5845
6453,50,0.564622,7.39519
8476,100,0.17929,14.6522
2309,50,0.243197,9.89698
8263,50,0.22633,19.4714
6020,50,0.251464,12.2165
1216,50,0.310646,8.69183
1012,150,0.233661,11.6476
5012,50,0.270773,11.8416
1339,50,0.272043,12.211
7181,50,0.177902,7.54951
4233,50,0.25617,3.88611
8649,50,0.545224,9.43487
2926,100,0.237921,15.0286
5022,50,0.458204,7.71383
5286,100,0.420894,13.3993
9916,50,0.486626,5.24113
6785,50,0.317288,6.5749
3300,100,0.14916,14.7968
555,50,0.311224,10.8652
3444,100,0.15316,14.7617
315,50,0.205567,9.719
563,50,0.161798,11.7025
9629,100,0.241141,14.7158
9523,50,0.236699,11.3029
6979,50,0.215528,7.75561
9468,150,0.181314,14.4135
2544,100,0.29602,7.0719
5333,50,0.214703,10.7085
9877,50,0.36295,10.6657
687,50,0.305323,10.5648
7068,50,0.5,11.0497
2754,50,0.229615,13.1221
8126,50,0.228764,14.7271
8440,50,0.256119,7.71498
4217,150,0.171754,15.7618
1925,50,0.303495,11.805
6106,50,0.181473,5.35411
9166,50,0.241485,14.9246
4397,50,0.212431,11.2621
6060,100,0.227273,13.6144
8971,50,0.530448,7.31319
2060,50,0.448952,6.35866
2565,50,0.2935,11.2943
4522,50,0.212698,5.00134
1573,50,0.257551,10.2929
9555,100,0.172122,9.87078
4524,50,0.399145,5.85964
6186,50,0.219711,10.6675
1509,50,0.267888,4.74674
8049,50,0.301452,12.1013
6896,200,0.147084,13.8629
1771,100,0.193159,14.4699
5379,50,0.17252,20.4637
3401,200,0.216598,14.9102
1347,100,0.195034,10.5149
3745,50,0.346992,8.89391
2556,50,0.236758,11.4063
3254,50,0.300139,12.0492
5042,50,0.243172,17.6984
4724,200,0.196436,14.8684
9449,50,0.300659,6.29876
9115,100,0.287653,14.3147
938,100,0.247648,13.8523
8623,50,0.280328,12.2093
5933,50,0.335518,16.0834
2137,50,0.237864,10.327
273,50,0.284546,9.30835
7782,50,0.186021,15.1237
503,50,0.231558,13.4203
