query_id,score,recall
0,63.0097,0.8
1,62.7615,0.8
2,74.5555,1
3,78.6028,1
4,64.7519,1
5,67.331,0.9
6,58.946,1
7,86.6085,1
8,60.7782,0.9
9,65.52,0.9
10,56.2257,1
11,73.8326,1
12,68.3467,0.9
13,66.4983,1
14,53.7959,0.9
15,73.2395,0.9
16,68.6739,0.9
17,60.6024,0.7
18,63.388,0.6
19,63.9336,1
20,75.6083,1
21,71.7494,1
22,63.1539,1
23,71.3024,0.9
24,70.5486,1
25,68.8031,1
26,64.2233,0.9
27,68.7294,1
28,63.6356,0.9
29,79.6239,1
30,71.93,0.9
31,62.4078,0.9
32,67.0861,1
33,83.9029,1
34,77.5085,1
35,83.2001,1
36,74.3342,1
37,87.7848,1
38,78.2758,1
39,76.7112,1
40,76.7097,1
41,71.5148,0.8
42,73.8153,1
43,71.4124,0.9
44,78.359,1
45,83.2757,1
46,91.3891,1
47,60.6552,1
48,79.9793,1
49,83.8288,1
50,79.3926,1
51,75.4621,1
52,71.4928,1
53,75.7077,1
54,81.4307,1
55,83.7782,1
56,65.9844,1
57,77.3409,1
58,87.3429,1
59,81.9873,1
60,64.9482,0.9
61,78.5035,1
62,76.4889,1
63,73.0701,1
64,87.4062,1
65,78.42,1
66,75.9797,1
67,77.7433,1
68,80.7655,1
69,53.3012,0.7
70,87.4724,1
71,75.4033,1
72,74.9877,0.9
73,64.8654,1
74,67.3341,0.9
75,73.6937,0.9
76,78.3652,1
77,75.5938,1
78,75.1313,1
79,80.2049,1
80,70.6632,1
81,69.9139,1
82,66.9769,0.9
83,78.5196,1
84,57.4832,1
85,87.886,1
86,88.1351,1
87,86.5665,1
88,82.797,1
89,83.1112,1
90,79.7285,1
91,76.9613,1
92,71.8923,0.9
93,77.0713,1
94,89.3261,1
95,69.2868,1
96,69.1643,1
97,71.0722,0.8
98,79.5008,1
99,78.3839,1
100,69.6728,1
101,80.17,1
102,72.5602,1
103,82.6878,1
104,78.0256,1
105,64.1129,1
106,79.9037,1
107,83.1134,1
108,91.2129,1
109,78.3122,0.8
110,57.966,0.8
111,71.0361,0.9
112,90.9417,1
113,67.417,1
114,83.7102,1
115,51.7037,0.7
116,87.212,1
117,64.5988,0.9
118,74.5482,1
119,92.6648,1
120,59.044,0.9
121,61.7005,0.8
122,68.8617,1
123,75.2857,1
124,77.3416,1
125,67.1584,1
126,63.7498,0.9
127,69.716,1
128,78.3718,1
129,84.6785,1
130,60.5355,0.9
131,77.0099,1
132,69.0526,0.9
133,62.7848,0.7
134,73.3061,0.9
135,51.6418,0.8
136,65.4162,0.9
137,69.9735,1
138,77.0483,0.9
139,64.1715,0.8
140,63.0189,0.8
141,80.5319,1
142,62.0926,1
143,77.1308,1
144,81.7557,1
145,72.3931,1
146,71.1123,0.9
147,76.3337,0.9
148,60.8162,1
149,76.3211,1
150,63.0835,0.7
151,88.8004,1
152,76.0259,1
153,80.0303,1
154,71.5904,0.8
155,69.4414,0.9
156,74.3426,1
157,59.8452,0.6
158,67.1776,0.9
159,70.8192,0.6
160,63.1124,0.7
161,70.2891,0.7
162,60.2826,0.8
163,74.4778,0.9
164,75.2599,1
165,81.7405,1
166,65.4526,0.9
167,70.8067,0.9
168,75.2287,1
169,81.3588,1
170,69.0327,0.8
171,68.3773,0.8
172,54.7965,0.8
173,70.2327,0.9
174,72.5231,1
175,74.4104,1
176,76.5219,1
177,73.775,0.7
178,67.2635,0.8
179,56.9674,0.5
180,79.2301,0.9
181,65.4706,0.9
182,73.6059,1
183,56.4309,0.8
184,81.7505,1
185,81.4346,1
186,78.2169,1
187,80.9408,0.9
188,65.7567,1
189,76.6201,1
190,84.5711,1
191,76.7907,1
192,62.4894,0.7
193,69.5071,1
194,65.2383,1
195,64.0315,1
196,57.8342,0.8
197,68.5507,0.9
198,81.6833,1
199,65.2604,0.9
200,68.5609,1
201,65.2663,0.9
202,62.6991,1
203,81.4788,1
204,65.854,0.9
205,74.7712,1
206,69.5868,1
207,76.6824,1
208,71.4584,1
209,75.2204,1
210,59.8301,0.4
211,69.8884,1
212,84.4002,1
213,66.4519,0.8
214,59.9817,1
215,81.4823,1
216,67.932,0.9
217,68.0722,0.9
218,68.8268,0.9
219,70.8362,1
220,73.3735,0.9
221,61.22,0.8
222,54.3657,0.8
223,59.7671,1
224,68.3271,1
225,55.6168,0.7
226,76.4045,0.8
227,60.772,0.9
228,62.7938,0.8
229,76.4449,0.8
230,82.7499,1
231,72.8817,1
232,77.7627,1
233,76.9168,1
234,61.6717,0.9
235,69.1077,0.9
236,74.7325,1
237,71.6973,1
238,73.1615,0.8
239,63.2594,0.9
240,71.4883,1
241,64.5557,0.7
242,58.1918,0.8
243,64.3225,0.9
244,60.515,0.7
245,59.7248,1
246,55.6109,0.6
247,73.0712,1
248,71.7207,0.6
249,63.1473,0.9
250,60.7359,0.8
251,59.263,1
252,51.8971,0.8
253,83.0006,1
254,71.4775,0.8
255,75.4966,0.9
256,46.2873,0.9
257,66.3258,0.7
258,64.3835,0.9
259,57.0132,0.6
260,66.2197,0.7
261,70.245,0.8
262,66.8049,0.6
263,90.0889,1
264,74.0821,0.9
265,85.1963,1
266,76.6965,1
267,75.69,1
268,68.4752,0.8
269,76.7276,0.9
270,50.3818,0.9
271,72.437,1
272,63.7715,1
273,75.637,1
274,65.5829,0.7
275,68.954,0.9
276,66.7376,0.7
277,57.528,0.8
278,66.2257,0.9
279,61.9802,0.7
280,67.009,0.9
281,68.6001,0.9
282,62.6889,1
283,69.2775,0.8
284,59.6168,0.9
285,63.697,0.7
286,72.3902,1
287,61.9386,1
288,71.8668,1
289,65.2832,0.9
290,65.4325,0.8
291,68.9568,1
292,79.5308,1
293,75.6835,0.8
294,70.0835,1
295,60.78,0.9
296,68.1156,0.8
297,68.1863,1
298,50.4186,0.9
299,74.6399,0.8
300,50.596,0.9
301,73.7053,0.9
302,75.8939,1
303,81.2431,1
304,55.4957,0.5
305,52.9838,0.6
306,69.0116,0.9
307,64.9602,0.8
308,62.7299,0.9
309,63.7301,1
310,63.0711,0.4
311,58.1678,0.8
312,52.8248,0.9
313,69.0432,0.9
314,85.085,1
315,75.3636,1
316,64.2549,1
317,55.803,0.9
318,61.9525,0.6
319,67.6354,0.6
320,70.143,0.7
321,59.7152,0.5
322,57.5779,0.7
323,58.0617,1
324,55.1245,0.8
325,57.7261,0.4
326,65.0111,0.8
327,79.3443,1
328,82.3586,1
329,76.3338,0.8
330,64.5165,0.9
331,64.401,0.8
332,68.9538,1
333,66.128,0.8
334,67.0454,1
335,67.888,0.9
336,62.7901,1
337,69.2532,0.8
338,64.255,0.9
339,66.888,1
340,79.1355,1
341,70.3508,1
342,64.2736,0.9
343,74.8087,1
344,72.9716,1
345,61.5963,0.7
346,80.4194,0.9
347,79.8137,0.9
348,60.4194,0.8
349,71.15,0.9
350,55.5759,1
351,64.8749,1
352,54.3556,0.8
353,70.2599,0.9
354,65.113,0.9
355,59.7843,0.7
356,77.8118,1
357,78.6905,1
358,75.9369,1
359,69.4528,1
360,67.9679,0.9
361,74.549,0.9
362,61.4445,0.8
363,76.8589,1
364,69.8083,1
365,76.9887,1
366,68.0082,0.8
367,62.2686,0.8
368,62.4939,1
369,59.4014,0.9
370,73.3034,0.9
371,74.2414,1
372,73.5821,1
373,72.3829,1
374,75.0236,0.9
375,52.6085,1
376,61.0267,1
377,85.3473,1
378,82.7635,1
379,76.1116,0.7
380,65.1042,1
381,61.7998,0.8
382,64.5378,0.9
383,61.0015,0.9
384,59.848,0.9
385,56.9729,0.7
386,62.7935,0.9
387,74.9901,0.9
388,61.6242,0.9
389,67.6994,0.9
390,65.3552,1
391,64.7042,1
392,65.3782,0.4
393,66.6529,1
394,69.0808,1
395,61.8994,0.9
396,65.0992,0.8
397,60.3588,0.4
398,63.5552,0.9
399,86.4143,1
400,71.1624,0.5
401,63.5609,0.7
402,61.7472,0.8
403,66.7355,1
404,75.4082,1
405,73.1991,0.8
406,61.1083,0.9
407,58.5897,0.9
408,69.816,1
409,74.6604,0.9
410,69.7037,1
411,69.8683,0.9
412,64.8476,0.9
413,60.0856,0.7
414,77.165,0.9
415,50.9728,0.8
416,74.0973,1
417,74.2626,1
418,61.9793,0.7
419,60.7278,1
420,71.0715,0.9
421,66.203,0.8
422,71.2965,1
423,54.7844,0.9
424,61.4653,1
425,51.9148,1
426,69.3248,1
427,75.6123,0.9
428,70.4658,1
429,58.7254,0.6
430,71.3804,1
431,67.4514,0.9
432,67.8007,1
433,62.5172,0.7
434,59.0626,0.8
435,76.2949,1
436,76.4566,1
437,79.2872,1
438,72.7433,0.9
439,68.6187,1
440,82.8618,1
441,61.2277,0.9
442,79.5528,0.9
443,73.2352,0.9
444,60.8114,0.8
445,72.9633,0.9
446,54.6076,1
447,66.1311,1
448,69.5233,0.9
449,81.5182,1
450,66.5366,1
451,62.2109,0.9
452,58.8932,0.8
453,63.983,0.6
454,72.8791,1
455,64.0907,0.8
456,70.7438,0.9
457,69.9835,1
458,77.0336,0.9
459,60.2564,1
460,58.8818,0.8
461,60.021,1
462,88.9719,1
463,79.4546,1
464,81.4825,1
465,68.3179,1
466,69.7466,0.8
467,73.4354,1
468,78.1633,0.9
469,65.327,1
470,72.0232,0.9
471,63.5831,0.7
472,63.7252,0.8
473,79.2422,0.8
474,75.704,1
475,83.2581,1
476,76.0137,0.9
477,72.815,0.9
478,88.0407,1
479,74.7215,1
480,89.3772,1
481,71.0538,1
482,78.7713,1
483,62.4306,0.7
484,69.5596,1
485,83.9722,1
486,79.3783,1
487,81.4806,1
488,82.966,1
489,59.4952,0.8
490,77.4787,1
491,71.4488,0.9
492,78.6343,1
493,84.3456,1
494,70.3443,1
495,77.1913,0.9
496,84.0314,1
497,55.5805,0.4
498,79.7503,1
499,54.3512,1
500,76.9032,0.9
501,59.0926,0.8
502,85.7168,1
503,71.3259,1
504,74.8327,1
505,69.6399,0.9
506,80.7789,1
507,68.7095,0.6
508,66.0436,0.6
509,81.4693,1
510,69.5003,1
511,49.64,0.7
512,53.0121,0.6
513,72.5226,0.9
514,90.2869,1
515,67.6301,0.9
516,69.0087,0.9
517,86.0321,1
518,77.5271,1
519,62.3443,0.9
