query_idx,ef_true,RV_rank_2.0,RV_rank_5.0,RV_rank_8.0,RV_rank_10.0,RV_rank_12.0,RV_rank_15.0,RV_rank_20.0,RV_rank_30.0
1730,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
3464,50,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8
662,50,0.6,0.8,0.8,0.9,0.9,0.9,0.9,0.9
6236,200,0.5,0.6,0.7,0.8,0.8,0.8,0.8,0.8
9488,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
2113,150,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
457,50,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
2411,50,0.5,0.7,0.7,0.7,0.8,0.8,0.8,0.8
3127,200,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6
758,50,0.3,0.4,0.5,0.6,0.6,0.7,0.7,0.8
3863,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8
7848,150,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6
1537,50,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
8819,100,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.8
3537,100,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
2606,1050,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
7810,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
8934,50,0.4,0.6,0.6,0.7,0.7,0.7,0.7,0.8
5896,150,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
6485,250,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
2463,50,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7
9611,100,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7
8876,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9
4629,50,0.5,0.7,0.8,0.8,0.8,0.8,0.9,0.9
5430,150,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
1327,50,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7
3742,150,0.3,0.5,0.6,0.6,0.6,0.6,0.7,0.7
409,200,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
3272,50,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
1207,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
9981,50,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6
8017,900,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
6689,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9
26,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
9529,100,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
4768,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
7856,50,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
3287,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
2192,50,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
7713,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
7057,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.8
3714,150,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.7
9552,150,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
1544,50,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.8
3294,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
1193,50,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
4826,400,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
2631,50,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7
2111,50,0.5,0.7,0.8,0.8,0.8,0.8,0.9,0.9
8093,150,0.2,0.4,0.4,0.5,0.5,0.6,0.6,0.6
4581,50,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
5049,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
5446,150,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
8484,50,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
3885,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.8
5098,50,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.8
8008,50,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7
4623,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
3733,50,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
7324,100,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
6711,200,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
2966,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
5217,100,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
3812,50,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
2822,100,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6
8276,50,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
2987,100,0.3,0.5,0.5,0.6,0.6,0.6,0.6,0.7
3868,50,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
1926,350,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
1351,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
2107,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
3453,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8
3674,250,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
7538,300,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
4350,250,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
8998,100,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
5097,150,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
