query_idx,ef_true,RV_rank_2.0,RV_rank_5.0,RV_rank_8.0,RV_rank_10.0,RV_rank_12.0,RV_rank_15.0,RV_rank_20.0,RV_rank_30.0
1730,2000,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.5
3464,1600,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6
662,800,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
6236,1300,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4
9488,350,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
2113,50,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8
457,100,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
2411,50,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
3127,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.8
758,200,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6
3863,50,0.5,0.6,0.7,0.8,0.8,0.8,0.8,0.8
7848,1300,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
1537,1800,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.4
8819,50,0.5,0.6,0.7,0.8,0.8,0.8,0.8,0.9
3537,2000,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.5
2606,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
7810,2000,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5
8934,50,0.5,0.7,0.8,0.8,0.8,0.8,0.9,0.9
5896,100,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6
6485,150,0.3,0.4,0.5,0.6,0.6,0.7,0.7,0.8
2463,150,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6
9611,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9
8876,400,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
4629,850,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.5
