query_idx,ef_true,RV_rank_2.0,RV_rank_5.0,RV_rank_8.0,RV_rank_10.0,RV_rank_12.0,RV_rank_15.0,RV_rank_20.0,RV_rank_30.0
1730,250,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
3464,150,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
662,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
6236,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
9488,150,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6
2113,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
457,50,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.8
2411,50,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
3127,100,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
758,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
3863,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
7848,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.9
1537,100,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
8819,50,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8
3537,50,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8
2606,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
7810,250,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
8934,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9
5896,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8
6485,50,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
2463,200,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6
9611,50,0.4,0.5,0.6,0.7,0.7,0.7,0.8,0.8
8876,100,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
4629,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
5430,50,0.3,0.5,0.6,0.6,0.7,0.7,0.7,0.8
1327,300,0.3,0.5,0.6,0.6,0.6,0.6,0.7,0.7
3742,50,0.4,0.6,0.6,0.7,0.7,0.7,0.7,0.8
409,350,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
3272,100,0.3,0.5,0.6,0.6,0.6,0.6,0.7,0.7
1207,150,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
9981,200,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
8017,50,0.6,0.8,0.8,0.8,0.8,0.9,0.9,0.9
6689,50,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9
26,100,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.8
9529,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.9
4768,50,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
7856,50,0.6,0.8,0.8,0.8,0.8,0.9,0.9,0.9
3287,50,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
2192,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.9
7713,200,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
7057,100,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6
3714,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
