query_idx,ef_true,MR_raw_gauss,MR_univ_gauss
1730,4200,0.210864,0.38455
3464,1600,0.217536,0.33579
662,800,0.239661,0.366766
6236,1300,0.145125,0.271246
9488,350,0.253577,0.326267
2113,50,0.52437,0.305936
457,100,0.380029,0.43967
2411,50,0.391996,0.370413
3127,50,0.511385,0.474679
758,200,0.295908,0.376879
3863,50,0.542208,0.5747
7848,1300,0.236238,0.372188
1537,1800,0.15419,0.301525
8819,50,0.721787,0.440709
3537,2250,0.189371,0.380393
2606,50,0.400489,0.325296
7810,2200,0.199498,0.282548
8934,50,0.73278,0.596954
5896,100,0.320023,0.292643
6485,150,0.387234,0.46037
2463,150,0.336265,0.253542
9611,50,0.605148,0.591858
8876,400,0.248356,0.401072
4629,850,0.203566,0.33897
5430,50,0.579214,0.499652
1327,400,0.208146,0.295888
3742,50,0.631931,0.528211
409,5000,0.20331,0.331957
3272,50,0.739499,0.573077
1207,3450,0.17699,0.301198
9981,50,0.621097,0.579754
8017,100,0.392751,0.467951
6689,150,0.404928,0.360545
26,100,0.394068,0.326384
9529,2950,0.255458,0.413713
4768,50,0.74043,0.632036
7856,600,0.249622,0.322112
3287,2150,0.19246,0.30707
2192,100,0.425636,0.43887
7713,100,0.402996,0.281795
7057,250,0.375412,0.237881
3714,100,0.383085,0.248665
9552,100,0.296005,0.378403
1544,50,0.410945,0.369689
3294,100,0.411964,0.498987
1193,300,0.435924,0.394715
4826,100,0.3622,0.243916
2631,2600,0.270882,0.356809
2111,50,0.65178,0.367017
8093,1650,0.353567,0.288306
4581,350,0.439634,0.406744
5049,50,0.367661,0.279735
5446,550,0.38309,0.300097
8484,50,0.474912,0.40234
3885,50,0.480282,0.379568
5098,50,0.662069,0.468584
8008,2650,0.334321,0.371458
4623,50,0.636182,0.418575
3733,1300,0.195307,0.30846
7324,300,0.255453,0.356444
6711,900,0.290856,0.381219
2966,2700,0.303554,0.27305
5217,100,0.389007,0.285008
3812,50,0.383742,0.36832
2822,200,0.309871,0.32209
8276,150,0.364235,0.279756
2987,50,0.679369,0.549483
3868,2350,0.177271,0.284932
1926,900,0.183496,0.385009
1351,50,0.680234,0.644699
2107,150,0.258987,0.277303
3453,1200,0.246143,0.293521
3674,50,0.454679,0.547055
7538,450,0.260142,0.313271
4350,200,0.329588,0.323079
8998,1950,0.182541,0.292223
5097,50,0.394816,0.302868
2718,50,0.57207,0.384725
4543,100,0.645025,0.533513
8877,50,0.685164,0.658183
2836,50,0.581029,0.300926
8791,100,0.434802,0.508144
2782,50,0.529242,0.475392
1279,50,0.364485,0.281303
6442,50,0.465632,0.503175
1447,900,0.220039,0.263426
2872,2200,0.2284,0.325882
6269,100,0.426367,0.448587
7302,50,0.656454,0.388692
9793,300,0.350175,0.215672
5191,50,0.566228,0.504016
4608,5000,0.200247,0.335669
1999,650,0.240622,0.389296
1023,3100,0.158475,0.319385
9225,950,0.316461,0.363949
2391,700,0.289695,0.361086
1874,200,0.305066,0.300291
9114,50,0.671049,0.346374
8238,50,0.376776,0.442428
4265,100,0.308439,0.322519
9495,300,0.23704,0.339483
3682,50,0.644732,0.424938
6974,100,0.610513,0.597331
6453,200,0.230922,0.35755
8476,900,0.164894,0.330264
2309,50,0.718919,0.597092
8263,50,0.46391,0.583167
6020,50,0.665947,0.458625
1216,100,0.517192,0.373184
1012,50,0.362689,0.26214
5012,1650,0.269729,0.320018
1339,50,0.569197,0.389281
7181,150,0.284949,0.317944
4233,300,0.175791,0.312445
8649,150,0.378891,0.597119
2926,150,0.260516,0.421552
5022,4100,0.267405,0.365568
5286,100,0.38237,0.229795
9916,100,0.296305,0.326229
6785,50,0.620335,0.521501
3300,50,0.480762,0.486969
555,50,0.562947,0.414431
3444,1450,0.258509,0.338227
315,250,0.591745,0.399819
563,200,0.346117,0.345326
9629,50,0.334996,0.339465
9523,50,0.572373,0.605298
6979,200,0.199792,0.306618
9468,50,0.428621,0.393683
2544,250,0.252953,0.283843
5333,100,0.399899,0.478404
9877,50,0.375425,0.322019
687,100,0.563016,0.307958
7068,3050,0.199005,0.213047
2754,800,0.228495,0.395977
8126,50,0.415452,0.459092
8440,150,0.443209,0.323747
4217,1050,0.239789,0.305784
1925,50,0.521493,0.364446
6106,100,0.389423,0.487804
9166,50,0.468221,0.359
4397,50,0.677734,0.660656
6060,3950,0.205345,0.325962
8971,50,0.593459,0.45763
2060,1900,0.176434,0.260628
2565,50,0.827045,0.653746
4522,150,0.344945,0.322923
1573,50,0.482145,0.444512
9555,100,0.367998,0.297764
4524,50,0.576242,0.332426
6186,600,0.176674,0.320236
1509,1600,0.242643,0.375714
8049,200,0.277284,0.472213
6896,100,0.582779,0.547566
1771,5000,0.223954,0.290729
5379,50,0.570521,0.588211
3401,100,0.590189,0.399921
1347,1050,0.297164,0.344617
3745,50,0.560117,0.409042
2556,50,0.515248,0.557852
3254,50,0.444043,0.26461
5042,200,0.339453,0.305595
4724,150,0.3876,0.389979
9449,50,0.580683,0.498137
9115,950,0.310188,0.2728
938,1750,0.322938,0.455582
8623,50,0.589861,0.510813
5933,50,0.371734,0.380079
2137,550,0.176908,0.283861
273,50,0.300909,0.40823
7782,50,0.470767,0.44789
503,50,0.645016,0.461458
872,50,0.352139,0.258549
9059,50,0.623042,0.490101
4510,200,0.35372,0.409261
1585,50,0.501301,0.528144
6542,650,0.43753,0.394037
3549,100,0.339684,0.318098
9332,150,0.342728,0.339345
488,950,0.182822,0.304629
7214,50,0.465731,0.402813
5018,50,0.556851,0.651182
8314,50,0.467968,0.548614
9257,2850,0.165491,0.326592
141,50,0.626499,0.646555
4595,50,0.334975,0.447072
5695,1500,0.177464,0.317814
4579,3200,0.269069,0.380591
7527,50,0.275595,0.268355
9321,100,0.46271,0.471715
239,650,0.210585,0.430855
5485,150,0.370295,0.486818
4188,50,0.363407,0.447335
7689,100,0.305975,0.291153
1027,50,0.655031,0.624672
9496,50,0.695065,0.648463
6090,100,0.455127,0.483201
4702,300,0.198259,0.286147
7879,300,0.314739,0.309148
4760,350,0.343211,0.325942
1146,5000,0.207185,0.300175
6960,50,0.466867,0.474798
351,3800,0.291696,0.365691
1525,2450,0.18178,0.274273
9753,500,0.274539,0.274504
9619,550,0.250869,0.406216
9715,500,0.239108,0.285692
5717,100,0.453756,0.495648
2452,50,0.365977,0.418906
7907,50,0.470143,0.445826
2356,100,0.346129,0.42038
9868,50,0.775402,0.667994
8833,250,0.252916,0.283681
4525,50,0.329057,0.40716
4990,50,0.664888,0.62588
8237,50,0.434694,0.41265
9067,50,0.542246,0.618328
8468,50,0.418121,0.383631
1029,1350,0.210438,0.19947
251,50,0.527654,0.587862
4733,50,0.43945,0.370669
4528,400,0.321753,0.412456
817,1800,0.175731,0.281366
3074,5000,0.159274,0.285688
5494,50,0.431505,0.351388
102,1500,0.233035,0.299397
3267,50,0.68189,0.423804
4610,2550,0.212359,0.321109
4540,50,0.44336,0.337096
8958,300,0.225233,0.358025
3111,1500,0.165909,0.281261
2860,4350,0.183394,0.256544
5053,50,0.510909,0.496882
1616,50,0.500424,0.446057
6331,50,0.2793,0.372264
4979,750,0.29902,0.280845
6202,50,0.624956,0.586471
4511,400,0.212846,0.396198
3969,450,0.300006,0.315678
7737,50,0.520373,0.502469
6520,50,0.714269,0.589674
1147,700,0.218273,0.332453
4533,100,0.363225,0.347167
2053,50,0.53907,0.400032
6722,50,0.409695,0.484534
9187,50,0.709159,0.598369
1853,50,0.564923,0.412695
236,100,0.262118,0.308146
1393,100,0.480555,0.552197
56,200,0.262366,0.400814
1552,150,0.238279,0.22329
497,50,0.345618,0.397786
8123,1450,0.180235,0.365634
3442,50,0.457441,0.416146
8752,1600,0.191439,0.257689
2373,50,0.496504,0.34127
1315,50,0.554179,0.573757
1311,50,0.707758,0.67772
9689,5000,0.183547,0.354435
8361,4400,0.252552,0.270765
1272,450,0.323136,0.323816
4831,200,0.383276,0.436828
9131,50,0.652629,0.687436
9526,5000,0.338641,0.252706
5825,600,0.168753,0.301889
6981,50,0.608355,0.524879
4356,850,0.229407,0.385041
7639,600,0.232597,0.278775
6069,50,0.620755,0.461663
9264,100,0.459286,0.366638
2496,50,0.74258,0.601118
9123,600,0.290388,0.38725
1940,300,0.327017,0.316073
7121,400,0.312829,0.301219
7809,150,0.270295,0.317486
868,50,0.574166,0.449114
9485,50,0.577309,0.613865
3366,2400,0.259864,0.309634
3421,450,0.269541,0.302941
2164,50,0.714174,0.584642
5111,50,0.545062,0.552649
5951,50,0.428917,0.370723
9545,50,0.639948,0.552165
1952,150,0.415764,0.306199
5797,300,0.24611,0.238367
214,450,0.29694,0.281346
5112,50,0.625427,0.565097
3317,50,0.399629,0.312954
9433,3500,0.175178,0.318593
2868,100,0.540805,0.394284
719,200,0.245742,0.310383
5438,700,0.313053,0.306654
8827,1100,0.256009,0.365495
4599,1000,0.201436,0.260188
1364,100,0.389324,0.42439
2139,50,0.51842,0.463821
6623,800,0.252175,0.341246
3712,50,0.557414,0.433276
5323,600,0.3185,0.349494
4427,700,0.252964,0.383017
2156,400,0.237499,0.33603
7532,50,0.551673,0.475049
7399,50,0.648716,0.666611
5337,4150,0.180987,0.363951
4657,2450,0.261144,0.380699
4498,200,0.370278,0.266455
1228,50,0.389379,0.439986
7453,450,0.267388,0.300377
3944,50,0.656351,0.355213
6457,250,0.355243,0.322012
3410,50,0.496984,0.45317
1674,250,0.29019,0.373867
4375,200,0.26421,0.358959
624,550,0.328582,0.370657
4683,50,0.49596,0.526285
4288,250,0.279274,0.406126
2413,500,0.177903,0.345753
7135,100,0.318493,0.329287
6654,50,0.525125,0.358153
2845,50,0.451146,0.436057
6837,50,0.581814,0.342177
366,800,0.351629,0.336309
779,1600,0.271218,0.346346
6708,1400,0.29635,0.313854
6604,50,0.544464,0.299326
9999,100,0.297945,0.265751
165,50,0.534543,0.495483
5370,4400,0.344246,0.291734
6767,50,0.433648,0.362601
1836,50,0.691629,0.587615
9104,950,0.232656,0.382675
1409,50,0.689351,0.663064
5904,50,0.578352,0.453516
1994,200,0.32681,0.318309
120,50,0.564042,0.388147
136,50,0.55682,0.529934
892,3200,0.391612,0.372005
9616,5000,0.345318,0.390554
