query_idx,ef_true,RV_unw,RV_log
1730,50,0.314744,0.463536
3464,50,0.309988,0.386817
662,50,0.48292,0.55341
6236,200,0.335457,0.525837
9488,50,0.403351,0.558834
2113,150,0.198888,0.218499
457,50,0.301426,0.396017
2411,50,0.365891,0.448401
3127,200,0.161378,0.228359
758,50,0.181541,0.32279
3863,50,0.456531,0.365103
7848,150,0.114504,0.30813
1537,50,0.183766,0.321783
8819,100,0.34347,0.385436
3537,100,0.273734,0.280552
2606,1050,0.176286,0.282276
7810,50,0.293607,0.371239
8934,50,0.297821,0.345883
5896,150,0.205568,0.310387
6485,250,0.169637,0.259701
2463,50,0.181854,0.377886
9611,100,0.155066,0.295306
8876,50,0.489152,0.445617
4629,50,0.390781,0.533451
5430,150,0.17804,0.29136
1327,50,0.18061,0.290731
3742,150,0.225399,0.345904
409,200,0.202736,0.347943
3272,50,0.302083,0.372413
1207,50,0.284719,0.402968
9981,50,0.166223,0.214319
8017,900,0.123442,0.260615
6689,50,0.420151,0.47327
26,50,0.27807,0.350706
9529,100,0.161493,0.274689
4768,50,0.232129,0.352868
7856,50,0.280306,0.299426
3287,50,0.286072,0.373146
2192,50,0.327601,0.669266
7713,50,0.216427,0.325873
7057,50,0.194656,0.323989
3714,150,0.134494,0.388745
9552,150,0.183183,0.282433
1544,50,0.280848,0.402728
3294,50,0.43547,0.491171
1193,50,0.178244,0.268323
4826,400,0.134074,0.258348
2631,50,0.205893,0.263993
2111,50,0.393046,0.463853
8093,150,0.145811,0.269075
4581,50,0.249894,0.389553
5049,50,0.274725,0.389992
5446,150,0.164127,0.30326
8484,50,0.14291,0.230068
3885,50,0.378028,0.480851
5098,50,0.291171,0.518583
8008,50,0.162913,0.298676
4623,50,0.321772,0.408959
3733,50,0.177966,0.294998
7324,100,0.236521,0.273661
6711,200,0.140141,0.195806
2966,50,0.326869,0.440461
5217,100,0.236863,0.239596
3812,50,0.127322,0.277401
2822,100,0.190029,0.25784
8276,50,0.17061,0.333353
2987,100,0.226722,0.312617
3868,50,0.392947,0.456522
1926,350,0.108129,0.230844
1351,50,0.290541,0.334852
2107,50,0.23418,0.355216
3453,50,0.397047,0.406681
3674,250,0.195061,0.376217
7538,300,0.0853971,0.28314
4350,250,0.170311,0.258996
8998,100,0.305112,0.268218
5097,150,0.180328,0.319681
2718,50,0.23534,0.343239
4543,50,0.168377,0.270886
8877,50,0.206975,0.260107
2836,50,0.28747,0.451187
8791,50,0.240223,0.443101
2782,300,0.14003,0.223392
1279,300,0.214558,0.256952
6442,400,0.10011,0.224866
1447,50,0.177973,0.33055
2872,50,0.171429,0.341404
6269,50,0.189112,0.280455
7302,350,0.75841,0.736898
9793,50,0.454793,0.484636
5191,200,0.171959,0.255342
4608,50,0.429848,0.517943
1999,50,0.186695,0.272715
1023,50,0.290283,0.395131
9225,250,0.121268,0.212542
2391,100,0.165764,0.250392
1874,100,0.198598,0.278954
9114,350,0.129282,0.200251
8238,50,0.205792,0.250206
4265,50,0.30371,0.474726
