query_idx,ef_true,RV_unw,RV_log
1730,2000,0.087672,0.229015
3464,1600,0.102068,0.229484
662,800,0.124788,0.242085
6236,1300,0.060061,0.163021
9488,350,0.134965,0.216124
2113,50,0.310858,0.370217
457,100,0.186434,0.35193
2411,50,0.179257,0.357945
3127,50,0.399844,0.387947
758,200,0.122387,0.306297
3863,50,0.314445,0.543973
7848,1300,0.119322,0.216632
1537,1800,0.0668005,0.205495
8819,50,0.31102,0.537853
3537,2000,0.0885943,0.238689
2606,50,0.22188,0.294113
7810,2000,0.109556,0.169343
8934,50,0.36682,0.601573
5896,100,0.178713,0.252085
6485,150,0.181414,0.397793
2463,150,0.199181,0.239064
9611,50,0.40553,0.466126
8876,400,0.12624,0.240205
4629,850,0.0846542,0.215908
5430,50,0.303608,0.48456
1327,400,0.116803,0.203688
3742,50,0.360738,0.489119
409,2000,0.0849024,0.220436
3272,50,0.465517,0.600961
1207,2000,0.0703964,0.205237
9981,50,0.238994,0.562648
8017,100,0.268029,0.405631
6689,150,0.2343,0.318995
26,100,0.240107,0.307482
9529,2000,0.112303,0.310279
4768,50,0.408351,0.592672
7856,600,0.115357,0.238558
3287,2000,0.105074,0.2167
2192,100,0.244299,0.354323
7713,100,0.21997,0.281743
7057,250,0.198846,0.278424
3714,100,0.22515,0.254646
9552,100,0.138702,0.278197
1544,50,0.213943,0.338349
3294,100,0.241254,0.333448
1193,300,0.220218,0.305055
4826,100,0.274936,0.247938
2631,2000,0.143002,0.229358
2111,50,0.352381,0.44369
8093,1650,0.144103,0.325254
4581,350,0.195014,0.347836
5049,50,0.1992,0.279719
5446,550,0.193303,0.278368
8484,50,0.254574,0.322241
3885,50,0.259573,0.318597
5098,50,0.242634,0.572997
8008,2000,0.184522,0.267468
4623,50,0.281428,0.438019
3733,1300,0.0948387,0.226127
7324,300,0.11311,0.289817
6711,900,0.140891,0.311004
2966,2000,0.173913,0.248588
5217,100,0.218687,0.252457
3812,50,0.182927,0.333554
2822,200,0.173575,0.224091
8276,150,0.187015,0.253434
2987,50,0.370764,0.603157
3868,2000,0.079024,0.1768
1926,900,0.0799791,0.246535
1351,50,0.340434,0.580598
2107,150,0.137338,0.21449
3453,1200,0.13276,0.250647
3674,50,0.223492,0.415549
7538,450,0.112975,0.318129
4350,200,0.169528,0.276383
8998,1950,0.0906032,0.208474
5097,50,0.181754,0.34971
2718,50,0.267404,0.431704
4543,100,0.508588,0.434088
8877,50,0.36383,0.538209
2836,50,0.424658,0.279316
8791,100,0.237367,0.371295
2782,50,0.319972,0.413302
1279,50,0.201075,0.265959
