query_idx,ef_true,RV_unw,RV_log
1730,250,0.172077,0.261112
3464,150,0.183707,0.30641
662,50,0.493717,0.464901
6236,50,0.25891,0.383696
9488,150,0.168495,0.18348
2113,50,0.353579,0.420649
457,50,0.299959,0.405586
2411,50,0.15,0.270769
3127,100,0.29344,0.324721
758,50,0.428819,0.522496
3863,50,0.214547,0.41732
7848,50,0.362529,0.592023
1537,100,0.172089,0.432582
8819,50,0.260382,0.458779
3537,50,0.275803,0.453936
2606,50,0.228875,0.371812
7810,250,0.188078,0.295026
8934,50,0.480544,0.537875
5896,50,0.40632,0.532466
6485,50,0.300161,0.321495
2463,200,0.167553,0.233028
9611,50,0.261135,0.647296
8876,100,0.238242,0.408389
4629,50,0.265686,0.420461
5430,50,0.226846,0.404295
1327,300,0.228169,0.333894
3742,50,0.300509,0.439012
409,350,0.260336,0.429978
3272,100,0.232865,0.281034
1207,150,0.136697,0.335343
9981,200,0.230676,0.327301
8017,50,0.47098,0.564294
6689,50,0.537399,0.694412
26,100,0.223726,0.372443
9529,50,0.374033,0.50442
4768,50,0.262922,0.355667
7856,50,0.521784,0.601573
3287,50,0.373763,0.472406
2192,50,0.364791,0.541804
7713,200,0.157218,0.252645
7057,100,0.20459,0.254157
3714,50,0.249898,0.40233
9552,50,0.279186,0.300637
1544,150,0.205882,0.327963
3294,50,0.315185,0.652683
1193,50,0.298617,0.358001
4826,50,0.291649,0.449738
2631,100,0.250513,0.31463
2111,100,0.2836,0.46244
8093,100,0.263933,0.3068
4581,50,0.354414,0.478953
5049,50,0.312088,0.411109
5446,50,0.342809,0.524911
8484,100,0.252046,0.312
3885,50,0.335363,0.430486
5098,50,0.343641,0.468115
8008,50,0.273181,0.332255
4623,50,0.34627,0.47275
3733,50,0.241393,0.459894
7324,50,0.224621,0.256294
6711,50,0.660727,0.725918
2966,50,0.191991,0.444377
5217,50,0.331377,0.495861
3812,200,0.264108,0.373931
2822,50,0.262807,0.75981
8276,50,0.318033,0.429612
2987,50,0.371099,0.653021
3868,100,0.243672,0.34798
1926,50,0.302619,0.433048
1351,50,0.254728,0.324281
2107,100,0.249795,0.358741
3453,50,0.246493,0.531115
3674,50,0.452347,0.644732
7538,50,0.654958,0.718382
4350,50,0.275523,0.379543
8998,50,0.341841,0.423313
5097,50,0.308307,0.484127
2718,50,0.224225,0.413125
4543,100,0.243167,0.277316
8877,50,0.247623,0.367131
2836,50,0.276496,0.471595
8791,100,0.197632,0.407106
2782,150,0.210288,0.308947
1279,100,0.266455,0.334485
6442,50,0.34554,0.459244
1447,50,0.410909,0.475229
2872,50,0.289474,0.576064
6269,50,0.227152,0.349547
7302,50,0.270535,0.419086
9793,50,0.367502,0.552171
5191,50,0.35843,0.474609
4608,100,0.210851,0.324781
1999,50,0.259434,0.438264
1023,100,0.260626,0.335833
9225,100,0.22439,0.341263
2391,50,0.224392,0.409412
1874,50,0.453922,0.423445
9114,50,0.321774,0.436988
8238,50,0.444549,0.445772
4265,50,0.251105,0.364832
9495,50,0.232278,0.398877
3682,50,0.388321,0.563963
6974,100,0.196309,0.378717
6453,50,0.564622,0.485881
8476,100,0.17929,0.336636
2309,50,0.243197,0.378037
8263,50,0.22633,0.308944
6020,50,0.251464,0.402801
1216,50,0.310646,0.482298
1012,150,0.233661,0.306544
5012,50,0.270773,0.375624
1339,50,0.272043,0.405505
7181,50,0.177902,0.430382
4233,50,0.25617,0.612411
8649,50,0.545224,0.526481
2926,100,0.237921,0.336299
5022,50,0.458204,0.628228
5286,100,0.420894,0.426124
9916,50,0.486626,0.565198
6785,50,0.317288,0.510476
3300,100,0.14916,0.306849
555,50,0.311224,0.397891
3444,100,0.15316,0.268783
315,50,0.205567,0.437376
563,50,0.161798,0.299279
9629,100,0.241141,0.295029
9523,50,0.236699,0.347645
6979,50,0.215528,0.380742
9468,150,0.181314,0.234462
2544,100,0.29602,0.397824
5333,50,0.214703,0.343578
9877,50,0.36295,0.428657
687,50,0.305323,0.464994
7068,50,0.5,0.468577
2754,50,0.229615,0.351245
8126,50,0.228764,0.416591
8440,50,0.256119,0.486544
4217,150,0.171754,0.28237
1925,50,0.303495,0.422557
6106,50,0.181473,0.459895
9166,50,0.241485,0.388814
4397,50,0.212431,0.419789
6060,100,0.227273,0.240108
8971,50,0.530448,0.596857
2060,50,0.448952,0.593102
2565,50,0.2935,0.374573
4522,50,0.212698,0.456242
1573,50,0.257551,0.469003
9555,100,0.172122,0.320825
4524,50,0.399145,0.504654
6186,50,0.219711,0.35655
1509,50,0.267888,0.506145
8049,50,0.301452,0.384231
6896,200,0.147084,0.283026
1771,100,0.193159,0.335826
5379,50,0.17252,0.237798
3401,200,0.216598,0.30574
1347,100,0.195034,0.408916
3745,50,0.346992,0.516994
2556,50,0.236758,0.368323
3254,50,0.300139,0.412631
5042,50,0.243172,0.285812
4724,200,0.196436,0.331224
9449,50,0.300659,0.549863
9115,100,0.287653,0.401437
938,100,0.247648,0.264446
8623,50,0.280328,0.42459
5933,50,0.335518,0.396781
2137,50,0.237864,0.376426
273,50,0.284546,0.359988
7782,50,0.186021,0.26959
503,50,0.231558,0.344439
872,50,0.253284,0.357425
9059,100,0.204662,0.251123
4510,50,0.253975,0.326348
1585,150,0.144254,0.292425
6542,50,0.5783,0.655205
3549,100,0.179388,0.388439
9332,50,0.292077,0.303786
488,50,0.256338,0.381291
7214,350,0.186688,0.29318
5018,150,0.272916,0.345324
8314,50,0.429487,0.587668
9257,200,0.20936,0.307947
141,50,0.444498,0.559353
4595,50,0.316916,0.448534
5695,50,0.331286,0.443229
4579,50,0.331136,0.430722
7527,50,0.526256,0.662396
9321,50,0.238211,0.390585
239,100,0.211747,0.314196
5485,150,0.21041,0.359574
4188,50,0.215514,0.427535
7689,50,0.41284,0.479042
1027,50,0.20741,0.338641
9496,50,0.216701,0.460797
6090,50,0.463327,0.52737
4702,100,0.127312,0.329602
7879,50,0.470223,0.61487
4760,50,0.234646,0.384444
1146,300,0.196274,0.330623
6960,100,0.210903,0.331117
351,50,0.256121,0.272406
1525,100,0.23474,0.332889
9753,50,0.248075,0.343644
9619,100,0.25173,0.42832
9715,100,0.185954,0.314494
5717,550,0.137918,0.228921
2452,150,0.212033,0.275929
7907,100,0.199287,0.342311
2356,50,0.226908,0.359414
9868,50,0.234754,0.35
8833,50,0.26717,0.401417
4525,50,0.343193,0.436604
4990,50,0.304403,0.479682
8237,100,0.234937,0.35289
9067,50,0.296393,0.494311
8468,100,0.261855,0.417774
1029,100,0.185865,0.272404
251,50,0.157028,0.260383
4733,50,0.194129,0.364784
4528,50,0.307375,0.419985
817,100,0.308057,0.382364
3074,50,0.192003,0.253769
5494,50,0.35531,0.423203
102,50,0.2445,0.422077
3267,100,0.18014,0.346015
4610,200,0.266526,0.319957
4540,300,0.17627,0.282685
8958,50,0.366204,0.437866
3111,100,0.14145,0.230386
2860,200,0.19785,0.476767
5053,50,0.339005,0.444074
1616,50,0.23221,0.335664
6331,50,0.491794,0.61274
4979,50,0.396101,0.467337
6202,50,0.586244,0.55326
4511,50,0.385421,0.427609
3969,50,0.248842,0.460447
7737,50,0.419268,0.632187
6520,50,0.211912,0.334054
1147,150,0.233133,0.275164
4533,50,0.26699,0.63932
2053,50,0.259015,0.458997
6722,50,0.636752,0.726159
9187,50,0.428836,0.502806
1853,50,0.213622,0.374865
236,50,0.34676,0.516012
1393,50,0.227597,0.359709
56,50,0.229391,0.287094
